q=1 t=1 f=-14.1525 min_f=-14.1525
q=2 t=0 f=-14.2461 min_f=-14.2461
q=2 t=1 f=-14.2348 min_f=-14.2461
q=2 t=2 f=-14.2357 min_f=-14.2461
q=2 t=3 f=-14.2465 min_f=-14.2465
q=2 t=4 f=-14.2464 min_f=-14.2465
q=2 t=5 f=-14.2459 min_f=-14.2465
q=2 t=6 f=-14.2646 min_f=-14.2646
q=2 t=7 f=-14.2461 min_f=-14.2646
q=2 t=8 f=-14.2641 min_f=-14.2646
q=2 t=9 f=-14.2459 min_f=-14.2646
q=2 t=10 f=-14.2646 min_f=-14.2646
q=2 t=11 f=-14.2461 min_f=-14.2646
q=2 t=12 f=-14.2636 min_f=-14.2646
q=2 t=13 f=-14.2464 min_f=-14.2646
q=2 t=14 f=-14.2465 min_f=-14.2646
q=2 t=15 f=-14.2465 min_f=-14.2646
q=2 t=16 f=-14.2646 min_f=-14.2646
q=2 t=17 f=-14.2465 min_f=-14.2646
q=2 t=18 f=-14.2641 min_f=-14.2646
q=2 t=19 f=-14.2639 min_f=-14.2646
q=3 t=0 f=-14.3729 min_f=-14.3729
q=3 t=1 f=-14.3838 min_f=-14.3838
q=3 t=2 f=-14.3693 min_f=-14.3838
q=3 t=3 f=-14.3822 min_f=-14.3838
q=3 t=4 f=-14.3799 min_f=-14.3838
q=3 t=5 f=-14.3703 min_f=-14.3838
q=3 t=6 f=-14.3827 min_f=-14.3838
q=3 t=7 f=-14.3801 min_f=-14.3838
q=3 t=8 f=-14.3828 min_f=-14.3838
q=3 t=9 f=-14.3848 min_f=-14.3848
q=3 t=10 f=-14.3796 min_f=-14.3848
q=3 t=11 f=-14.3729 min_f=-14.3848
q=3 t=12 f=-14.3854 min_f=-14.3854
q=3 t=13 f=-14.3827 min_f=-14.3854
q=3 t=14 f=-14.3855 min_f=-14.3855
q=3 t=15 f=-14.3844 min_f=-14.3855
q=3 t=16 f=-14.3694 min_f=-14.3855
q=3 t=17 f=-14.3799 min_f=-14.3855
q=3 t=18 f=-14.3624 min_f=-14.3855
q=3 t=19 f=-14.3828 min_f=-14.3855
q=4 t=0 f=-14.5084 min_f=-14.5084
q=4 t=1 f=-14.5073 min_f=-14.5084
q=4 t=2 f=-14.5073 min_f=-14.5084
q=4 t=3 f=-14.5071 min_f=-14.5084
q=4 t=4 f=-14.5074 min_f=-14.5084
q=4 t=5 f=-14.5083 min_f=-14.5084
q=4 t=6 f=-14.508 min_f=-14.5084
q=4 t=7 f=-14.5084 min_f=-14.5084
q=4 t=8 f=-14.5083 min_f=-14.5084
q=4 t=9 f=-14.5071 min_f=-14.5084
q=4 t=10 f=-14.5079 min_f=-14.5084
q=4 t=11 f=-14.5083 min_f=-14.5084
q=4 t=12 f=-14.5066 min_f=-14.5084
q=4 t=13 f=-14.5068 min_f=-14.5084
q=4 t=14 f=-14.509 min_f=-14.509
q=4 t=15 f=-14.5079 min_f=-14.509
q=4 t=16 f=-14.508 min_f=-14.509
q=4 t=17 f=-14.5087 min_f=-14.509
q=4 t=18 f=-14.509 min_f=-14.509
q=4 t=19 f=-14.509 min_f=-14.509
q=5 t=0 f=-14.5081 min_f=-14.5081
q=5 t=1 f=-14.5068 min_f=-14.5081
q=5 t=2 f=-14.5075 min_f=-14.5081
q=5 t=3 f=-14.5068 min_f=-14.5081
q=5 t=4 f=-14.5072 min_f=-14.5081
q=5 t=5 f=-14.5081 min_f=-14.5081
q=5 t=6 f=-14.5081 min_f=-14.5081
q=5 t=7 f=-14.5076 min_f=-14.5081
q=5 t=8 f=-14.5072 min_f=-14.5081
q=5 t=9 f=-14.5084 min_f=-14.5084
q=5 t=10 f=-14.507 min_f=-14.5084
q=5 t=11 f=-14.5085 min_f=-14.5085
q=5 t=12 f=-14.5067 min_f=-14.5085
q=5 t=13 f=-14.5082 min_f=-14.5085
q=5 t=14 f=-14.507 min_f=-14.5085
q=5 t=15 f=-14.5084 min_f=-14.5085
q=5 t=16 f=-14.507 min_f=-14.5085
q=5 t=17 f=-14.5092 min_f=-14.5092
q=5 t=18 f=-14.507 min_f=-14.5092
q=5 t=19 f=-14.5076 min_f=-14.5092
q=6 t=0 f=-14.5078 min_f=-14.5078
q=6 t=1 f=-14.5094 min_f=-14.5094
q=6 t=2 f=-14.5079 min_f=-14.5094
q=6 t=3 f=-14.5093 min_f=-14.5094
q=6 t=4 f=-14.5074 min_f=-14.5094
q=6 t=5 f=-14.5066 min_f=-14.5094
q=6 t=6 f=-14.5074 min_f=-14.5094
q=6 t=7 f=-14.5084 min_f=-14.5094
q=6 t=8 f=-14.5082 min_f=-14.5094
q=6 t=9 f=-14.5072 min_f=-14.5094
q=6 t=10 f=-14.5084 min_f=-14.5094
q=6 t=11 f=-14.5086 min_f=-14.5094
q=6 t=12 f=-14.5073 min_f=-14.5094
q=6 t=13 f=-14.5066 min_f=-14.5094
q=6 t=14 f=-14.5083 min_f=-14.5094
q=6 t=15 f=-14.5073 min_f=-14.5094
q=6 t=16 f=-14.5067 min_f=-14.5094
q=6 t=17 f=-14.5073 min_f=-14.5094
q=6 t=18 f=-14.5084 min_f=-14.5094
q=6 t=19 f=-14.5066 min_f=-14.5094
q=7 t=0 f=-14.5098 min_f=-14.5098
q=7 t=1 f=-14.5073 min_f=-14.5098
q=7 t=2 f=-14.5071 min_f=-14.5098
q=7 t=3 f=-14.5065 min_f=-14.5098
q=7 t=4 f=-14.5072 min_f=-14.5098
q=7 t=5 f=-14.5057 min_f=-14.5098
q=7 t=6 f=-14.5065 min_f=-14.5098
q=7 t=7 f=-14.5085 min_f=-14.5098
q=7 t=8 f=-14.5055 min_f=-14.5098
q=7 t=9 f=-14.5069 min_f=-14.5098
q=7 t=10 f=-14.5068 min_f=-14.5098
q=7 t=11 f=-14.507 min_f=-14.5098
q=7 t=12 f=-14.5089 min_f=-14.5098
q=7 t=13 f=-14.5069 min_f=-14.5098
q=7 t=14 f=-14.5066 min_f=-14.5098
q=7 t=15 f=-14.5071 min_f=-14.5098
q=7 t=16 f=-14.509 min_f=-14.5098
q=7 t=17 f=-14.5062 min_f=-14.5098
q=7 t=18 f=-14.5075 min_f=-14.5098
q=7 t=19 f=-14.5085 min_f=-14.5098
