q=1 t=1 f=-13.9852 min_f=-13.9852
q=2 t=0 f=-14.381 min_f=-14.381
q=2 t=1 f=-14.374 min_f=-14.381
q=2 t=2 f=-14.3808 min_f=-14.381
q=2 t=3 f=-14.3808 min_f=-14.381
q=2 t=4 f=-14.3712 min_f=-14.381
q=2 t=5 f=-14.3808 min_f=-14.381
q=2 t=6 f=-14.3808 min_f=-14.381
q=2 t=7 f=-14.3808 min_f=-14.381
q=2 t=8 f=-14.374 min_f=-14.381
q=2 t=9 f=-14.3807 min_f=-14.381
q=2 t=10 f=-14.3741 min_f=-14.381
q=2 t=11 f=-14.381 min_f=-14.381
q=2 t=12 f=-14.3807 min_f=-14.381
q=2 t=13 f=-14.3807 min_f=-14.381
q=2 t=14 f=-14.3808 min_f=-14.381
q=2 t=15 f=-14.3713 min_f=-14.381
q=2 t=16 f=-14.3743 min_f=-14.381
q=2 t=17 f=-14.3712 min_f=-14.381
q=2 t=18 f=-14.3741 min_f=-14.381
q=2 t=19 f=-14.371 min_f=-14.381
q=3 t=0 f=-14.7406 min_f=-14.7406
q=3 t=1 f=-14.7406 min_f=-14.7406
q=3 t=2 f=-14.7329 min_f=-14.7406
q=3 t=3 f=-14.752 min_f=-14.752
q=3 t=4 f=-14.7374 min_f=-14.752
q=3 t=5 f=-14.7372 min_f=-14.752
q=3 t=6 f=-14.7408 min_f=-14.752
q=3 t=7 f=-14.7276 min_f=-14.752
q=3 t=8 f=-14.7275 min_f=-14.752
q=3 t=9 f=-14.733 min_f=-14.752
q=3 t=10 f=-14.7344 min_f=-14.752
q=3 t=11 f=-14.7406 min_f=-14.752
q=3 t=12 f=-14.7371 min_f=-14.752
q=3 t=13 f=-14.7329 min_f=-14.752
q=3 t=14 f=-14.7275 min_f=-14.752
q=3 t=15 f=-14.7405 min_f=-14.752
q=3 t=16 f=-14.7405 min_f=-14.752
q=3 t=17 f=-14.7518 min_f=-14.752
q=3 t=18 f=-14.733 min_f=-14.752
q=3 t=19 f=-14.7405 min_f=-14.752
q=4 t=0 f=-15.1041 min_f=-15.1041
q=4 t=1 f=-15.1041 min_f=-15.1041
q=4 t=2 f=-15.1044 min_f=-15.1044
q=4 t=3 f=-15.1041 min_f=-15.1044
q=4 t=4 f=-15.1041 min_f=-15.1044
q=4 t=5 f=-15.1043 min_f=-15.1044
q=4 t=6 f=-15.1041 min_f=-15.1044
q=4 t=7 f=-15.1041 min_f=-15.1044
q=4 t=8 f=-15.104 min_f=-15.1044
q=4 t=9 f=-15.1041 min_f=-15.1044
q=4 t=10 f=-15.1043 min_f=-15.1044
q=4 t=11 f=-15.1041 min_f=-15.1044
q=4 t=12 f=-15.1041 min_f=-15.1044
q=4 t=13 f=-15.1041 min_f=-15.1044
q=4 t=14 f=-15.104 min_f=-15.1044
q=4 t=15 f=-15.104 min_f=-15.1044
q=4 t=16 f=-15.104 min_f=-15.1044
q=4 t=17 f=-15.1041 min_f=-15.1044
q=4 t=18 f=-15.1044 min_f=-15.1044
q=4 t=19 f=-15.1041 min_f=-15.1044
q=5 t=0 f=-15.1039 min_f=-15.1039
q=5 t=1 f=-15.1039 min_f=-15.1039
q=5 t=2 f=-15.1043 min_f=-15.1043
q=5 t=3 f=-15.104 min_f=-15.1043
q=5 t=4 f=-15.1039 min_f=-15.1043
q=5 t=5 f=-15.1039 min_f=-15.1043
q=5 t=6 f=-15.104 min_f=-15.1043
q=5 t=7 f=-15.104 min_f=-15.1043
q=5 t=8 f=-15.1045 min_f=-15.1045
q=5 t=9 f=-15.104 min_f=-15.1045
q=5 t=10 f=-15.1039 min_f=-15.1045
q=5 t=11 f=-15.1039 min_f=-15.1045
q=5 t=12 f=-15.104 min_f=-15.1045
q=5 t=13 f=-15.104 min_f=-15.1045
q=5 t=14 f=-15.1039 min_f=-15.1045
q=5 t=15 f=-15.1041 min_f=-15.1045
q=5 t=16 f=-15.104 min_f=-15.1045
q=5 t=17 f=-15.104 min_f=-15.1045
q=5 t=18 f=-15.104 min_f=-15.1045
q=5 t=19 f=-15.1039 min_f=-15.1045
q=6 t=0 f=-15.104 min_f=-15.104
q=6 t=1 f=-15.1051 min_f=-15.1051
q=6 t=2 f=-15.1034 min_f=-15.1051
q=6 t=3 f=-15.1031 min_f=-15.1051
q=6 t=4 f=-15.1035 min_f=-15.1051
q=6 t=5 f=-15.1037 min_f=-15.1051
q=6 t=6 f=-15.1035 min_f=-15.1051
q=6 t=7 f=-15.1038 min_f=-15.1051
q=6 t=8 f=-15.1034 min_f=-15.1051
q=6 t=9 f=-15.103 min_f=-15.1051
q=6 t=10 f=-15.1037 min_f=-15.1051
q=6 t=11 f=-15.1037 min_f=-15.1051
q=6 t=12 f=-15.1036 min_f=-15.1051
q=6 t=13 f=-15.1035 min_f=-15.1051
q=6 t=14 f=-15.1036 min_f=-15.1051
q=6 t=15 f=-15.1042 min_f=-15.1051
q=6 t=16 f=-15.1031 min_f=-15.1051
q=6 t=17 f=-15.1034 min_f=-15.1051
q=6 t=18 f=-15.105 min_f=-15.1051
q=6 t=19 f=-15.1038 min_f=-15.1051
q=7 t=0 f=-15.1035 min_f=-15.1035
q=7 t=1 f=-15.1032 min_f=-15.1035
q=7 t=2 f=-15.104 min_f=-15.104
q=7 t=3 f=-15.103 min_f=-15.104
q=7 t=4 f=-15.1033 min_f=-15.104
q=7 t=5 f=-15.1037 min_f=-15.104
q=7 t=6 f=-15.1036 min_f=-15.104
q=7 t=7 f=-15.1039 min_f=-15.104
q=7 t=8 f=-15.1032 min_f=-15.104
q=7 t=9 f=-15.1039 min_f=-15.104
q=7 t=10 f=-15.1032 min_f=-15.104
q=7 t=11 f=-15.1036 min_f=-15.104
q=7 t=12 f=-15.1033 min_f=-15.104
q=7 t=13 f=-15.1034 min_f=-15.104
q=7 t=14 f=-15.1032 min_f=-15.104
q=7 t=15 f=-15.1032 min_f=-15.104
q=7 t=16 f=-15.1035 min_f=-15.104
q=7 t=17 f=-15.103 min_f=-15.104
q=7 t=18 f=-15.1031 min_f=-15.104
q=7 t=19 f=-15.1031 min_f=-15.104
Finial result number of group 6
