q=1 t=1 f=-14.0172 min_f=-14.0172
q=2 t=0 f=-14.038 min_f=-14.038
q=2 t=1 f=-14.0351 min_f=-14.038
q=2 t=2 f=-14.0346 min_f=-14.038
q=2 t=3 f=-14.038 min_f=-14.038
q=2 t=4 f=-14.0352 min_f=-14.038
q=2 t=5 f=-14.038 min_f=-14.038
q=2 t=6 f=-14.0351 min_f=-14.038
q=2 t=7 f=-14.038 min_f=-14.038
q=2 t=8 f=-14.0351 min_f=-14.038
q=2 t=9 f=-14.0346 min_f=-14.038
q=2 t=10 f=-14.038 min_f=-14.038
q=2 t=11 f=-14.0346 min_f=-14.038
q=2 t=12 f=-14.0346 min_f=-14.038
q=2 t=13 f=-14.0348 min_f=-14.038
q=2 t=14 f=-14.0347 min_f=-14.038
q=2 t=15 f=-14.0347 min_f=-14.038
q=2 t=16 f=-14.0348 min_f=-14.038
q=2 t=17 f=-14.0346 min_f=-14.038
q=2 t=18 f=-14.0346 min_f=-14.038
q=2 t=19 f=-14.0346 min_f=-14.038
q=3 t=0 f=-14.0681 min_f=-14.0681
q=3 t=1 f=-14.0726 min_f=-14.0726
q=3 t=2 f=-14.0717 min_f=-14.0726
q=3 t=3 f=-14.0673 min_f=-14.0726
q=3 t=4 f=-14.0688 min_f=-14.0726
q=3 t=5 f=-14.0674 min_f=-14.0726
q=3 t=6 f=-14.0726 min_f=-14.0726
q=3 t=7 f=-14.0713 min_f=-14.0726
q=3 t=8 f=-14.0726 min_f=-14.0726
q=3 t=9 f=-14.0686 min_f=-14.0726
q=3 t=10 f=-14.0675 min_f=-14.0726
q=3 t=11 f=-14.068 min_f=-14.0726
q=3 t=12 f=-14.0673 min_f=-14.0726
q=3 t=13 f=-14.0675 min_f=-14.0726
q=3 t=14 f=-14.071 min_f=-14.0726
q=3 t=15 f=-14.0686 min_f=-14.0726
q=3 t=16 f=-14.0688 min_f=-14.0726
q=3 t=17 f=-14.0715 min_f=-14.0726
q=3 t=18 f=-14.0672 min_f=-14.0726
q=3 t=19 f=-14.0673 min_f=-14.0726
q=4 t=0 f=-14.1074 min_f=-14.1074
q=4 t=1 f=-14.1073 min_f=-14.1074
q=4 t=2 f=-14.107 min_f=-14.1074
q=4 t=3 f=-14.1068 min_f=-14.1074
q=4 t=4 f=-14.1067 min_f=-14.1074
q=4 t=5 f=-14.1068 min_f=-14.1074
q=4 t=6 f=-14.1068 min_f=-14.1074
q=4 t=7 f=-14.107 min_f=-14.1074
q=4 t=8 f=-14.1068 min_f=-14.1074
q=4 t=9 f=-14.1065 min_f=-14.1074
q=4 t=10 f=-14.1068 min_f=-14.1074
q=4 t=11 f=-14.1074 min_f=-14.1074
q=4 t=12 f=-14.1072 min_f=-14.1074
q=4 t=13 f=-14.1068 min_f=-14.1074
q=4 t=14 f=-14.1067 min_f=-14.1074
q=4 t=15 f=-14.1068 min_f=-14.1074
q=4 t=16 f=-14.1074 min_f=-14.1074
q=4 t=17 f=-14.107 min_f=-14.1074
q=4 t=18 f=-14.107 min_f=-14.1074
q=4 t=19 f=-14.1069 min_f=-14.1074
q=5 t=0 f=-14.1072 min_f=-14.1072
q=5 t=1 f=-14.1077 min_f=-14.1077
q=5 t=2 f=-14.1072 min_f=-14.1077
q=5 t=3 f=-14.1068 min_f=-14.1077
q=5 t=4 f=-14.1064 min_f=-14.1077
q=5 t=5 f=-14.1067 min_f=-14.1077
q=5 t=6 f=-14.1072 min_f=-14.1077
q=5 t=7 f=-14.1064 min_f=-14.1077
q=5 t=8 f=-14.1069 min_f=-14.1077
q=5 t=9 f=-14.1068 min_f=-14.1077
q=5 t=10 f=-14.1069 min_f=-14.1077
q=5 t=11 f=-14.1064 min_f=-14.1077
q=5 t=12 f=-14.1068 min_f=-14.1077
q=5 t=13 f=-14.1073 min_f=-14.1077
q=5 t=14 f=-14.1069 min_f=-14.1077
q=5 t=15 f=-14.1069 min_f=-14.1077
q=5 t=16 f=-14.1072 min_f=-14.1077
q=5 t=17 f=-14.1072 min_f=-14.1077
q=5 t=18 f=-14.1068 min_f=-14.1077
q=5 t=19 f=-14.1068 min_f=-14.1077
q=6 t=0 f=-14.1071 min_f=-14.1071
q=6 t=1 f=-14.1077 min_f=-14.1077
q=6 t=2 f=-14.1066 min_f=-14.1077
q=6 t=3 f=-14.1065 min_f=-14.1077
q=6 t=4 f=-14.1069 min_f=-14.1077
q=6 t=5 f=-14.1064 min_f=-14.1077
q=6 t=6 f=-14.1069 min_f=-14.1077
q=6 t=7 f=-14.1065 min_f=-14.1077
q=6 t=8 f=-14.1067 min_f=-14.1077
q=6 t=9 f=-14.1073 min_f=-14.1077
q=6 t=10 f=-14.1068 min_f=-14.1077
q=6 t=11 f=-14.1068 min_f=-14.1077
q=6 t=12 f=-14.1072 min_f=-14.1077
q=6 t=13 f=-14.1062 min_f=-14.1077
q=6 t=14 f=-14.1069 min_f=-14.1077
q=6 t=15 f=-14.1069 min_f=-14.1077
q=6 t=16 f=-14.1062 min_f=-14.1077
q=6 t=17 f=-14.1065 min_f=-14.1077
q=6 t=18 f=-14.1064 min_f=-14.1077
q=6 t=19 f=-14.1067 min_f=-14.1077
q=7 t=0 f=-14.1071 min_f=-14.1071
q=7 t=1 f=-14.1064 min_f=-14.1071
q=7 t=2 f=-14.1068 min_f=-14.1071
q=7 t=3 f=-14.1065 min_f=-14.1071
q=7 t=4 f=-14.1065 min_f=-14.1071
q=7 t=5 f=-14.1065 min_f=-14.1071
q=7 t=6 f=-14.1065 min_f=-14.1071
q=7 t=7 f=-14.1069 min_f=-14.1071
q=7 t=8 f=-14.1065 min_f=-14.1071
q=7 t=9 f=-14.1067 min_f=-14.1071
q=7 t=10 f=-14.1068 min_f=-14.1071
q=7 t=11 f=-14.1069 min_f=-14.1071
q=7 t=12 f=-14.1065 min_f=-14.1071
q=7 t=13 f=-14.1069 min_f=-14.1071
q=7 t=14 f=-14.1064 min_f=-14.1071
q=7 t=15 f=-14.1068 min_f=-14.1071
q=7 t=16 f=-14.1064 min_f=-14.1071
q=7 t=17 f=-14.1067 min_f=-14.1071
q=7 t=18 f=-14.1064 min_f=-14.1071
q=7 t=19 f=-14.1073 min_f=-14.1073
Finial result number of group 4
