q=1 t=1 f=-13.878 min_f=-13.878
q=2 t=0 f=-13.8784 min_f=-13.8784
q=2 t=1 f=-13.8784 min_f=-13.8784
q=2 t=2 f=-13.8782 min_f=-13.8784
q=2 t=3 f=-13.8798 min_f=-13.8798
q=2 t=4 f=-13.8798 min_f=-13.8798
q=2 t=5 f=-13.8798 min_f=-13.8798
q=2 t=6 f=-13.8798 min_f=-13.8798
q=2 t=7 f=-13.8784 min_f=-13.8798
q=2 t=8 f=-13.8798 min_f=-13.8798
q=2 t=9 f=-13.8798 min_f=-13.8798
q=2 t=10 f=-13.8798 min_f=-13.8798
q=2 t=11 f=-13.8782 min_f=-13.8798
q=2 t=12 f=-13.8798 min_f=-13.8798
q=2 t=13 f=-13.8782 min_f=-13.8798
q=2 t=14 f=-13.8784 min_f=-13.8798
q=2 t=15 f=-13.8798 min_f=-13.8798
q=2 t=16 f=-13.8782 min_f=-13.8798
q=2 t=17 f=-13.8798 min_f=-13.8798
q=2 t=18 f=-13.8784 min_f=-13.8798
q=2 t=19 f=-13.8782 min_f=-13.8798
q=3 t=0 f=-13.8802 min_f=-13.8802
q=3 t=1 f=-13.88 min_f=-13.8802
q=3 t=2 f=-13.88 min_f=-13.8802
q=3 t=3 f=-13.8802 min_f=-13.8802
q=3 t=4 f=-13.8802 min_f=-13.8802
q=3 t=5 f=-13.88 min_f=-13.8802
q=3 t=6 f=-13.88 min_f=-13.8802
q=3 t=7 f=-13.8799 min_f=-13.8802
q=3 t=8 f=-13.8799 min_f=-13.8802
q=3 t=9 f=-13.8805 min_f=-13.8805
q=3 t=10 f=-13.8806 min_f=-13.8806
q=3 t=11 f=-13.88 min_f=-13.8806
q=3 t=12 f=-13.88 min_f=-13.8806
q=3 t=13 f=-13.8805 min_f=-13.8806
q=3 t=14 f=-13.8805 min_f=-13.8806
q=3 t=15 f=-13.88 min_f=-13.8806
q=3 t=16 f=-13.8799 min_f=-13.8806
q=3 t=17 f=-13.8806 min_f=-13.8806
q=3 t=18 f=-13.88 min_f=-13.8806
q=3 t=19 f=-13.8799 min_f=-13.8806
q=4 t=0 f=-13.8808 min_f=-13.8808
q=4 t=1 f=-13.8806 min_f=-13.8808
q=4 t=2 f=-13.8806 min_f=-13.8808
q=4 t=3 f=-13.8811 min_f=-13.8811
q=4 t=4 f=-13.8811 min_f=-13.8811
q=4 t=5 f=-13.8812 min_f=-13.8812
q=4 t=6 f=-13.8807 min_f=-13.8812
q=4 t=7 f=-13.8811 min_f=-13.8812
q=4 t=8 f=-13.8808 min_f=-13.8812
q=4 t=9 f=-13.8806 min_f=-13.8812
q=4 t=10 f=-13.8809 min_f=-13.8812
q=4 t=11 f=-13.8811 min_f=-13.8812
q=4 t=12 f=-13.8807 min_f=-13.8812
q=4 t=13 f=-13.8807 min_f=-13.8812
q=4 t=14 f=-13.8806 min_f=-13.8812
q=4 t=15 f=-13.8811 min_f=-13.8812
q=4 t=16 f=-13.8806 min_f=-13.8812
q=4 t=17 f=-13.8813 min_f=-13.8813
q=4 t=18 f=-13.8807 min_f=-13.8813
q=4 t=19 f=-13.8807 min_f=-13.8813
q=5 t=0 f=-13.8806 min_f=-13.8806
q=5 t=1 f=-13.8809 min_f=-13.8809
q=5 t=2 f=-13.8804 min_f=-13.8809
q=5 t=3 f=-13.8809 min_f=-13.8809
q=5 t=4 f=-13.8804 min_f=-13.8809
q=5 t=5 f=-13.8809 min_f=-13.8809
q=5 t=6 f=-13.8807 min_f=-13.8809
q=5 t=7 f=-13.8805 min_f=-13.8809
q=5 t=8 f=-13.8809 min_f=-13.8809
q=5 t=9 f=-13.8805 min_f=-13.8809
q=5 t=10 f=-13.8808 min_f=-13.8809
q=5 t=11 f=-13.8802 min_f=-13.8809
q=5 t=12 f=-13.8808 min_f=-13.8809
q=5 t=13 f=-13.8809 min_f=-13.8809
q=5 t=14 f=-13.8809 min_f=-13.8809
q=5 t=15 f=-13.881 min_f=-13.881
q=5 t=16 f=-13.8805 min_f=-13.881
q=5 t=17 f=-13.8807 min_f=-13.881
q=5 t=18 f=-13.8804 min_f=-13.881
q=5 t=19 f=-13.8807 min_f=-13.881
Finial result number of group 4
