q=1 t=1 f=-13.8039 min_f=-13.8039
q=2 t=0 f=-13.9591 min_f=-13.9591
q=2 t=1 f=-13.9492 min_f=-13.9591
q=2 t=2 f=-13.9585 min_f=-13.9591
q=2 t=3 f=-13.9493 min_f=-13.9591
q=2 t=4 f=-13.9465 min_f=-13.9591
q=2 t=5 f=-13.9464 min_f=-13.9591
q=2 t=6 f=-13.9464 min_f=-13.9591
q=2 t=7 f=-13.9587 min_f=-13.9591
q=2 t=8 f=-13.9463 min_f=-13.9591
q=2 t=9 f=-13.9587 min_f=-13.9591
q=2 t=10 f=-13.946 min_f=-13.9591
q=2 t=11 f=-13.9465 min_f=-13.9591
q=2 t=12 f=-13.9463 min_f=-13.9591
q=2 t=13 f=-13.9591 min_f=-13.9591
q=2 t=14 f=-13.9587 min_f=-13.9591
q=2 t=15 f=-13.9587 min_f=-13.9591
q=2 t=16 f=-13.9495 min_f=-13.9591
q=2 t=17 f=-13.9465 min_f=-13.9591
q=2 t=18 f=-13.9589 min_f=-13.9591
q=2 t=19 f=-13.9592 min_f=-13.9592
q=3 t=0 f=-14.1312 min_f=-14.1312
q=3 t=1 f=-14.1386 min_f=-14.1386
q=3 t=2 f=-14.1154 min_f=-14.1386
q=3 t=3 f=-14.108 min_f=-14.1386
q=3 t=4 f=-14.1126 min_f=-14.1386
q=3 t=5 f=-14.1376 min_f=-14.1386
q=3 t=6 f=-14.1379 min_f=-14.1386
q=3 t=7 f=-14.1333 min_f=-14.1386
q=3 t=8 f=-14.1371 min_f=-14.1386
q=3 t=9 f=-14.1131 min_f=-14.1386
q=3 t=10 f=-14.1373 min_f=-14.1386
q=3 t=11 f=-14.1124 min_f=-14.1386
q=3 t=12 f=-14.1333 min_f=-14.1386
q=3 t=13 f=-14.1371 min_f=-14.1386
q=3 t=14 f=-14.108 min_f=-14.1386
q=3 t=15 f=-14.1376 min_f=-14.1386
q=3 t=16 f=-14.1309 min_f=-14.1386
q=3 t=17 f=-14.1368 min_f=-14.1386
q=3 t=18 f=-14.1314 min_f=-14.1386
q=3 t=19 f=-14.1076 min_f=-14.1386
q=4 t=0 f=-14.2998 min_f=-14.2998
q=4 t=1 f=-14.299 min_f=-14.2998
q=4 t=2 f=-14.299 min_f=-14.2998
q=4 t=3 f=-14.299 min_f=-14.2998
q=4 t=4 f=-14.3009 min_f=-14.3009
q=4 t=5 f=-14.2988 min_f=-14.3009
q=4 t=6 f=-14.299 min_f=-14.3009
q=4 t=7 f=-14.299 min_f=-14.3009
q=4 t=8 f=-14.2987 min_f=-14.3009
q=4 t=9 f=-14.3006 min_f=-14.3009
q=4 t=10 f=-14.2988 min_f=-14.3009
q=4 t=11 f=-14.2996 min_f=-14.3009
q=4 t=12 f=-14.299 min_f=-14.3009
q=4 t=13 f=-14.299 min_f=-14.3009
q=4 t=14 f=-14.3009 min_f=-14.3009
q=4 t=15 f=-14.2988 min_f=-14.3009
q=4 t=16 f=-14.299 min_f=-14.3009
q=4 t=17 f=-14.2993 min_f=-14.3009
q=4 t=18 f=-14.2987 min_f=-14.3009
q=4 t=19 f=-14.3 min_f=-14.3009
q=5 t=0 f=-14.2986 min_f=-14.2986
q=5 t=1 f=-14.2988 min_f=-14.2988
q=5 t=2 f=-14.2982 min_f=-14.2988
q=5 t=3 f=-14.3012 min_f=-14.3012
q=5 t=4 f=-14.2983 min_f=-14.3012
q=5 t=5 f=-14.2987 min_f=-14.3012
q=5 t=6 f=-14.2989 min_f=-14.3012
q=5 t=7 f=-14.2988 min_f=-14.3012
q=5 t=8 f=-14.3012 min_f=-14.3012
q=5 t=9 f=-14.2994 min_f=-14.3012
q=5 t=10 f=-14.2984 min_f=-14.3012
q=5 t=11 f=-14.2983 min_f=-14.3012
q=5 t=12 f=-14.2994 min_f=-14.3012
q=5 t=13 f=-14.2984 min_f=-14.3012
q=5 t=14 f=-14.2986 min_f=-14.3012
q=5 t=15 f=-14.2983 min_f=-14.3012
q=5 t=16 f=-14.2983 min_f=-14.3012
q=5 t=17 f=-14.2983 min_f=-14.3012
q=5 t=18 f=-14.2991 min_f=-14.3012
q=5 t=19 f=-14.2982 min_f=-14.3012
q=6 t=0 f=-14.2985 min_f=-14.2985
q=6 t=1 f=-14.2985 min_f=-14.2985
q=6 t=2 f=-14.3003 min_f=-14.3003
q=6 t=3 f=-14.2985 min_f=-14.3003
q=6 t=4 f=-14.2986 min_f=-14.3003
q=6 t=5 f=-14.3003 min_f=-14.3003
q=6 t=6 f=-14.3013 min_f=-14.3013
q=6 t=7 f=-14.2984 min_f=-14.3013
q=6 t=8 f=-14.3001 min_f=-14.3013
q=6 t=9 f=-14.2986 min_f=-14.3013
q=6 t=10 f=-14.3021 min_f=-14.3021
q=6 t=11 f=-14.2975 min_f=-14.3021
q=6 t=12 f=-14.299 min_f=-14.3021
q=6 t=13 f=-14.2984 min_f=-14.3021
q=6 t=14 f=-14.3021 min_f=-14.3021
q=6 t=15 f=-14.2981 min_f=-14.3021
q=6 t=16 f=-14.2985 min_f=-14.3021
q=6 t=17 f=-14.3005 min_f=-14.3021
q=6 t=18 f=-14.2987 min_f=-14.3021
q=6 t=19 f=-14.2989 min_f=-14.3021
q=7 t=0 f=-14.2977 min_f=-14.2977
q=7 t=1 f=-14.2985 min_f=-14.2985
