q=1 t=1 f=-13.6827 min_f=-13.6827
q=2 t=0 f=-13.8724 min_f=-13.8724
q=2 t=1 f=-13.8949 min_f=-13.8949
q=2 t=2 f=-13.8694 min_f=-13.8949
q=2 t=3 f=-13.8949 min_f=-13.8949
q=2 t=4 f=-13.8694 min_f=-13.8949
q=2 t=5 f=-13.8947 min_f=-13.8949
q=2 t=6 f=-13.8946 min_f=-13.8949
q=2 t=7 f=-13.8947 min_f=-13.8949
q=2 t=8 f=-13.8694 min_f=-13.8949
q=2 t=9 f=-13.8694 min_f=-13.8949
q=2 t=10 f=-13.8694 min_f=-13.8949
q=2 t=11 f=-13.8724 min_f=-13.8949
q=2 t=12 f=-13.8722 min_f=-13.8949
q=2 t=13 f=-13.8951 min_f=-13.8951
q=2 t=14 f=-13.8721 min_f=-13.8951
q=2 t=15 f=-13.869 min_f=-13.8951
q=2 t=16 f=-13.8946 min_f=-13.8951
q=2 t=17 f=-13.8723 min_f=-13.8951
q=2 t=18 f=-13.8724 min_f=-13.8951
q=2 t=19 f=-13.8722 min_f=-13.8951
q=3 t=0 f=-14.0965 min_f=-14.0965
q=3 t=1 f=-14.1043 min_f=-14.1043
q=3 t=2 f=-14.0967 min_f=-14.1043
q=3 t=3 f=-14.1045 min_f=-14.1045
q=3 t=4 f=-14.0965 min_f=-14.1045
q=3 t=5 f=-14.1032 min_f=-14.1045
q=3 t=6 f=-14.0964 min_f=-14.1045
q=3 t=7 f=-14.0969 min_f=-14.1045
q=3 t=8 f=-14.1038 min_f=-14.1045
q=3 t=9 f=-14.0816 min_f=-14.1045
q=3 t=10 f=-14.1032 min_f=-14.1045
q=3 t=11 f=-14.1038 min_f=-14.1045
q=3 t=12 f=-14.1109 min_f=-14.1109
q=3 t=13 f=-14.1103 min_f=-14.1109
q=3 t=14 f=-14.0835 min_f=-14.1109
q=3 t=15 f=-14.1097 min_f=-14.1109
q=3 t=16 f=-14.1097 min_f=-14.1109
q=3 t=17 f=-14.0953 min_f=-14.1109
q=3 t=18 f=-14.0816 min_f=-14.1109
q=3 t=19 f=-14.0819 min_f=-14.1109
q=4 t=0 f=-14.3165 min_f=-14.3165
q=4 t=1 f=-14.3174 min_f=-14.3174
q=4 t=2 f=-14.3161 min_f=-14.3174
q=4 t=3 f=-14.3161 min_f=-14.3174
q=4 t=4 f=-14.3166 min_f=-14.3174
q=4 t=5 f=-14.3166 min_f=-14.3174
q=4 t=6 f=-14.3161 min_f=-14.3174
q=4 t=7 f=-14.3174 min_f=-14.3174
q=4 t=8 f=-14.3161 min_f=-14.3174
q=4 t=9 f=-14.3166 min_f=-14.3174
q=4 t=10 f=-14.316 min_f=-14.3174
q=4 t=11 f=-14.3168 min_f=-14.3174
q=4 t=12 f=-14.3161 min_f=-14.3174
q=4 t=13 f=-14.3167 min_f=-14.3174
q=4 t=14 f=-14.316 min_f=-14.3174
q=4 t=15 f=-14.3174 min_f=-14.3174
q=4 t=16 f=-14.3155 min_f=-14.3174
q=4 t=17 f=-14.3155 min_f=-14.3174
q=4 t=18 f=-14.3167 min_f=-14.3174
q=4 t=19 f=-14.3161 min_f=-14.3174
q=5 t=0 f=-14.316 min_f=-14.316
q=5 t=1 f=-14.3153 min_f=-14.316
q=5 t=2 f=-14.3156 min_f=-14.316
q=5 t=3 f=-14.3157 min_f=-14.316
q=5 t=4 f=-14.3157 min_f=-14.316
q=5 t=5 f=-14.3166 min_f=-14.3166
q=5 t=6 f=-14.3162 min_f=-14.3166
q=5 t=7 f=-14.3157 min_f=-14.3166
q=5 t=8 f=-14.3158 min_f=-14.3166
q=5 t=9 f=-14.3174 min_f=-14.3174
q=5 t=10 f=-14.3164 min_f=-14.3174
q=5 t=11 f=-14.3166 min_f=-14.3174
q=5 t=12 f=-14.3157 min_f=-14.3174
q=5 t=13 f=-14.3159 min_f=-14.3174
q=5 t=14 f=-14.3182 min_f=-14.3182
q=5 t=15 f=-14.3166 min_f=-14.3182
q=5 t=16 f=-14.3153 min_f=-14.3182
q=5 t=17 f=-14.3174 min_f=-14.3182
q=5 t=18 f=-14.3164 min_f=-14.3182
q=5 t=19 f=-14.3164 min_f=-14.3182
q=6 t=0 f=-14.316 min_f=-14.316
q=6 t=1 f=-14.3159 min_f=-14.316
q=6 t=2 f=-14.3149 min_f=-14.316
q=6 t=3 f=-14.3165 min_f=-14.3165
q=6 t=4 f=-14.3156 min_f=-14.3165
q=6 t=5 f=-14.3183 min_f=-14.3183
q=6 t=6 f=-14.3159 min_f=-14.3183
q=6 t=7 f=-14.3153 min_f=-14.3183
q=6 t=8 f=-14.3163 min_f=-14.3183
q=6 t=9 f=-14.3163 min_f=-14.3183
q=6 t=10 f=-14.3153 min_f=-14.3183
q=6 t=11 f=-14.3185 min_f=-14.3185
q=6 t=12 f=-14.3165 min_f=-14.3185
q=6 t=13 f=-14.3154 min_f=-14.3185
q=6 t=14 f=-14.3152 min_f=-14.3185
q=6 t=15 f=-14.3156 min_f=-14.3185
q=6 t=16 f=-14.3163 min_f=-14.3185
q=6 t=17 f=-14.3148 min_f=-14.3185
q=6 t=18 f=-14.317 min_f=-14.3185
q=6 t=19 f=-14.3148 min_f=-14.3185
q=7 t=0 f=-14.3153 min_f=-14.3153
q=7 t=1 f=-14.3149 min_f=-14.3153
q=7 t=2 f=-14.316 min_f=-14.316
q=7 t=3 f=-14.3152 min_f=-14.316
q=7 t=4 f=-14.3159 min_f=-14.316
q=7 t=5 f=-14.3151 min_f=-14.316
q=7 t=6 f=-14.3171 min_f=-14.3171
q=7 t=7 f=-14.315 min_f=-14.3171
q=7 t=8 f=-14.3157 min_f=-14.3171
q=7 t=9 f=-14.315 min_f=-14.3171
q=7 t=10 f=-14.3163 min_f=-14.3171
q=7 t=11 f=-14.3154 min_f=-14.3171
q=7 t=12 f=-14.3159 min_f=-14.3171
q=7 t=13 f=-14.316 min_f=-14.3171
q=7 t=14 f=-14.3151 min_f=-14.3171
q=7 t=15 f=-14.3159 min_f=-14.3171
q=7 t=16 f=-14.316 min_f=-14.3171
q=7 t=17 f=-14.3159 min_f=-14.3171
q=7 t=18 f=-14.3151 min_f=-14.3171
q=7 t=19 f=-14.3153 min_f=-14.3171
Finial result number of group 6
