q=1 t=1 f=-13.925 min_f=-13.925
q=2 t=0 f=-14.2359 min_f=-14.2359
q=2 t=1 f=-14.2171 min_f=-14.2359
q=2 t=2 f=-14.2173 min_f=-14.2359
q=2 t=3 f=-14.2087 min_f=-14.2359
q=2 t=4 f=-14.2083 min_f=-14.2359
q=2 t=5 f=-14.2173 min_f=-14.2359
q=2 t=6 f=-14.2171 min_f=-14.2359
q=2 t=7 f=-14.2173 min_f=-14.2359
q=2 t=8 f=-14.2171 min_f=-14.2359
q=2 t=9 f=-14.2359 min_f=-14.2359
q=2 t=10 f=-14.2173 min_f=-14.2359
q=2 t=11 f=-14.236 min_f=-14.236
q=2 t=12 f=-14.2083 min_f=-14.236
q=2 t=13 f=-14.2171 min_f=-14.236
q=2 t=14 f=-14.2363 min_f=-14.2363
q=2 t=15 f=-14.2086 min_f=-14.2363
q=2 t=16 f=-14.2087 min_f=-14.2363
q=2 t=17 f=-14.2359 min_f=-14.2363
q=2 t=18 f=-14.2086 min_f=-14.2363
q=2 t=19 f=-14.2171 min_f=-14.2363
q=3 t=0 f=-14.5228 min_f=-14.5228
q=3 t=1 f=-14.5032 min_f=-14.5228
q=3 t=2 f=-14.523 min_f=-14.523
q=3 t=3 f=-14.523 min_f=-14.523
q=3 t=4 f=-14.5038 min_f=-14.523
q=3 t=5 f=-14.5039 min_f=-14.523
q=3 t=6 f=-14.5039 min_f=-14.523
q=3 t=7 f=-14.5121 min_f=-14.523
q=3 t=8 f=-14.5122 min_f=-14.523
q=3 t=9 f=-14.5016 min_f=-14.523
q=3 t=10 f=-14.5115 min_f=-14.523
q=3 t=11 f=-14.5113 min_f=-14.523
q=3 t=12 f=-14.5122 min_f=-14.523
q=3 t=13 f=-14.5017 min_f=-14.523
q=3 t=14 f=-14.5299 min_f=-14.5299
q=3 t=15 f=-14.5038 min_f=-14.5299
q=3 t=16 f=-14.5122 min_f=-14.5299
q=3 t=17 f=-14.53 min_f=-14.53
q=3 t=18 f=-14.5117 min_f=-14.53
q=3 t=19 f=-14.5312 min_f=-14.5312
q=4 t=0 f=-14.8117 min_f=-14.8117
q=4 t=1 f=-14.8114 min_f=-14.8117
q=4 t=2 f=-14.8117 min_f=-14.8117
q=4 t=3 f=-14.8114 min_f=-14.8117
q=4 t=4 f=-14.8117 min_f=-14.8117
q=4 t=5 f=-14.8117 min_f=-14.8117
q=4 t=6 f=-14.8121 min_f=-14.8121
q=4 t=7 f=-14.812 min_f=-14.8121
q=4 t=8 f=-14.8118 min_f=-14.8121
q=4 t=9 f=-14.8117 min_f=-14.8121
q=4 t=10 f=-14.811 min_f=-14.8121
q=4 t=11 f=-14.8129 min_f=-14.8129
q=4 t=12 f=-14.812 min_f=-14.8129
q=4 t=13 f=-14.8113 min_f=-14.8129
q=4 t=14 f=-14.8117 min_f=-14.8129
q=4 t=15 f=-14.8114 min_f=-14.8129
q=4 t=16 f=-14.8127 min_f=-14.8129
q=4 t=17 f=-14.811 min_f=-14.8129
q=4 t=18 f=-14.8117 min_f=-14.8129
q=4 t=19 f=-14.8118 min_f=-14.8129
q=5 t=0 f=-14.812 min_f=-14.812
q=5 t=1 f=-14.8121 min_f=-14.8121
q=5 t=2 f=-14.8129 min_f=-14.8129
q=5 t=3 f=-14.812 min_f=-14.8129
q=5 t=4 f=-14.8117 min_f=-14.8129
q=5 t=5 f=-14.8129 min_f=-14.8129
q=5 t=6 f=-14.812 min_f=-14.8129
q=5 t=7 f=-14.8113 min_f=-14.8129
q=5 t=8 f=-14.8124 min_f=-14.8129
q=5 t=9 f=-14.8114 min_f=-14.8129
q=5 t=10 f=-14.8118 min_f=-14.8129
q=5 t=11 f=-14.8117 min_f=-14.8129
q=5 t=12 f=-14.8121 min_f=-14.8129
q=5 t=13 f=-14.8129 min_f=-14.8129
q=5 t=14 f=-14.8109 min_f=-14.8129
q=5 t=15 f=-14.8114 min_f=-14.8129
