q=1 t=1 f=-14.2421 min_f=-14.2421
q=2 t=0 f=-14.2923 min_f=-14.2923
q=2 t=1 f=-14.2923 min_f=-14.2923
q=2 t=2 f=-14.2876 min_f=-14.2923
q=2 t=3 f=-14.2932 min_f=-14.2932
q=2 t=4 f=-14.2932 min_f=-14.2932
q=2 t=5 f=-14.2923 min_f=-14.2932
q=2 t=6 f=-14.2923 min_f=-14.2932
q=2 t=7 f=-14.2923 min_f=-14.2932
q=2 t=8 f=-14.2876 min_f=-14.2932
q=2 t=9 f=-14.2876 min_f=-14.2932
q=2 t=10 f=-14.2923 min_f=-14.2932
q=2 t=11 f=-14.2932 min_f=-14.2932
q=2 t=12 f=-14.2922 min_f=-14.2932
q=2 t=13 f=-14.2932 min_f=-14.2932
q=2 t=14 f=-14.2922 min_f=-14.2932
q=2 t=15 f=-14.2932 min_f=-14.2932
q=2 t=16 f=-14.2876 min_f=-14.2932
q=2 t=17 f=-14.2877 min_f=-14.2932
q=2 t=18 f=-14.2923 min_f=-14.2932
q=2 t=19 f=-14.2877 min_f=-14.2932
q=3 t=0 f=-14.3693 min_f=-14.3693
q=3 t=1 f=-14.3636 min_f=-14.3693
q=3 t=2 f=-14.3684 min_f=-14.3693
q=3 t=3 f=-14.3601 min_f=-14.3693
q=3 t=4 f=-14.3749 min_f=-14.3749
q=3 t=5 f=-14.3637 min_f=-14.3749
q=3 t=6 f=-14.3585 min_f=-14.3749
q=3 t=7 f=-14.3679 min_f=-14.3749
q=3 t=8 f=-14.3602 min_f=-14.3749
q=3 t=9 f=-14.3585 min_f=-14.3749
q=3 t=10 f=-14.3749 min_f=-14.3749
q=3 t=11 f=-14.3696 min_f=-14.3749
q=3 t=12 f=-14.3584 min_f=-14.3749
q=3 t=13 f=-14.3637 min_f=-14.3749
q=3 t=14 f=-14.3696 min_f=-14.3749
q=3 t=15 f=-14.3601 min_f=-14.3749
q=3 t=16 f=-14.3749 min_f=-14.3749
q=3 t=17 f=-14.369 min_f=-14.3749
q=3 t=18 f=-14.3636 min_f=-14.3749
q=3 t=19 f=-14.3679 min_f=-14.3749
q=4 t=0 f=-14.4461 min_f=-14.4461
q=4 t=1 f=-14.4464 min_f=-14.4464
q=4 t=2 f=-14.4459 min_f=-14.4464
q=4 t=3 f=-14.446 min_f=-14.4464
q=4 t=4 f=-14.4462 min_f=-14.4464
q=4 t=5 f=-14.446 min_f=-14.4464
q=4 t=6 f=-14.4458 min_f=-14.4464
q=4 t=7 f=-14.4459 min_f=-14.4464
q=4 t=8 f=-14.4459 min_f=-14.4464
q=4 t=9 f=-14.4459 min_f=-14.4464
q=4 t=10 f=-14.4459 min_f=-14.4464
q=4 t=11 f=-14.4467 min_f=-14.4467
q=4 t=12 f=-14.4458 min_f=-14.4467
q=4 t=13 f=-14.4459 min_f=-14.4467
q=4 t=14 f=-14.446 min_f=-14.4467
q=4 t=15 f=-14.4461 min_f=-14.4467
q=4 t=16 f=-14.4462 min_f=-14.4467
q=4 t=17 f=-14.446 min_f=-14.4467
q=4 t=18 f=-14.4459 min_f=-14.4467
q=4 t=19 f=-14.4468 min_f=-14.4468
q=5 t=0 f=-14.4459 min_f=-14.4459
q=5 t=1 f=-14.4455 min_f=-14.4459
q=5 t=2 f=-14.4455 min_f=-14.4459
q=5 t=3 f=-14.4458 min_f=-14.4459
q=5 t=4 f=-14.447 min_f=-14.447
q=5 t=5 f=-14.4457 min_f=-14.447
q=5 t=6 f=-14.447 min_f=-14.447
q=5 t=7 f=-14.4461 min_f=-14.447
q=5 t=8 f=-14.4457 min_f=-14.447
q=5 t=9 f=-14.4465 min_f=-14.447
q=5 t=10 f=-14.4461 min_f=-14.447
q=5 t=11 f=-14.4465 min_f=-14.447
q=5 t=12 f=-14.4456 min_f=-14.447
q=5 t=13 f=-14.4455 min_f=-14.447
q=5 t=14 f=-14.4457 min_f=-14.447
q=5 t=15 f=-14.4455 min_f=-14.447
q=5 t=16 f=-14.4458 min_f=-14.447
q=5 t=17 f=-14.446 min_f=-14.447
q=5 t=18 f=-14.4458 min_f=-14.447
q=5 t=19 f=-14.446 min_f=-14.447
q=6 t=0 f=-14.4457 min_f=-14.4457
q=6 t=1 f=-14.4462 min_f=-14.4462
q=6 t=2 f=-14.4456 min_f=-14.4462
q=6 t=3 f=-14.4465 min_f=-14.4465
q=6 t=4 f=-14.4461 min_f=-14.4465
q=6 t=5 f=-14.447 min_f=-14.447
q=6 t=6 f=-14.4458 min_f=-14.447
q=6 t=7 f=-14.4458 min_f=-14.447
q=6 t=8 f=-14.4457 min_f=-14.447
q=6 t=9 f=-14.4456 min_f=-14.447
q=6 t=10 f=-14.4462 min_f=-14.447
q=6 t=11 f=-14.4456 min_f=-14.447
q=6 t=12 f=-14.4463 min_f=-14.447
q=6 t=13 f=-14.4465 min_f=-14.447
q=6 t=14 f=-14.4456 min_f=-14.447
q=6 t=15 f=-14.4454 min_f=-14.447
q=6 t=16 f=-14.4457 min_f=-14.447
q=6 t=17 f=-14.4457 min_f=-14.447
q=6 t=18 f=-14.4469 min_f=-14.447
q=6 t=19 f=-14.446 min_f=-14.447
q=7 t=0 f=-14.4444 min_f=-14.4444
q=7 t=1 f=-14.4455 min_f=-14.4455
q=7 t=2 f=-14.4453 min_f=-14.4455
q=7 t=3 f=-14.4455 min_f=-14.4455
q=7 t=4 f=-14.4465 min_f=-14.4465
q=7 t=5 f=-14.4439 min_f=-14.4465
q=7 t=6 f=-14.4453 min_f=-14.4465
q=7 t=7 f=-14.4452 min_f=-14.4465
q=7 t=8 f=-14.4441 min_f=-14.4465
q=7 t=9 f=-14.4458 min_f=-14.4465
q=7 t=10 f=-14.4465 min_f=-14.4465
q=7 t=11 f=-14.4458 min_f=-14.4465
q=7 t=12 f=-14.4456 min_f=-14.4465
q=7 t=13 f=-14.4461 min_f=-14.4465
q=7 t=14 f=-14.4449 min_f=-14.4465
q=7 t=15 f=-14.4464 min_f=-14.4465
q=7 t=16 f=-14.4465 min_f=-14.4465
q=7 t=17 f=-14.4449 min_f=-14.4465
q=7 t=18 f=-14.4458 min_f=-14.4465
q=7 t=19 f=-14.4456 min_f=-14.4465
Finial result number of group 4
