q=1 t=1 f=-14.1633 min_f=-14.1633
q=2 t=0 f=-14.3856 min_f=-14.3856
q=2 t=1 f=-14.3856 min_f=-14.3856
q=2 t=2 f=-14.3846 min_f=-14.3856
q=2 t=3 f=-14.3856 min_f=-14.3856
q=2 t=4 f=-14.3856 min_f=-14.3856
q=2 t=5 f=-14.3858 min_f=-14.3858
q=2 t=6 f=-14.3846 min_f=-14.3858
q=2 t=7 f=-14.3856 min_f=-14.3858
q=2 t=8 f=-14.3856 min_f=-14.3858
q=2 t=9 f=-14.3846 min_f=-14.3858
q=2 t=10 f=-14.3846 min_f=-14.3858
q=2 t=11 f=-14.3855 min_f=-14.3858
q=2 t=12 f=-14.3845 min_f=-14.3858
q=2 t=13 f=-14.3846 min_f=-14.3858
q=2 t=14 f=-14.3846 min_f=-14.3858
q=2 t=15 f=-14.3846 min_f=-14.3858
q=2 t=16 f=-14.3846 min_f=-14.3858
q=2 t=17 f=-14.3858 min_f=-14.3858
q=2 t=18 f=-14.3856 min_f=-14.3858
q=2 t=19 f=-14.3846 min_f=-14.3858
q=3 t=0 f=-14.628 min_f=-14.628
q=3 t=1 f=-14.6281 min_f=-14.6281
q=3 t=2 f=-14.6187 min_f=-14.6281
q=3 t=3 f=-14.628 min_f=-14.6281
q=3 t=4 f=-14.628 min_f=-14.6281
q=3 t=5 f=-14.6188 min_f=-14.6281
q=3 t=6 f=-14.6212 min_f=-14.6281
q=3 t=7 f=-14.6283 min_f=-14.6283
q=3 t=8 f=-14.624 min_f=-14.6283
q=3 t=9 f=-14.6281 min_f=-14.6283
q=3 t=10 f=-14.6284 min_f=-14.6284
q=3 t=11 f=-14.6187 min_f=-14.6284
q=3 t=12 f=-14.6284 min_f=-14.6284
q=3 t=13 f=-14.628 min_f=-14.6284
q=3 t=14 f=-14.628 min_f=-14.6284
q=3 t=15 f=-14.6241 min_f=-14.6284
q=3 t=16 f=-14.6282 min_f=-14.6284
q=3 t=17 f=-14.6189 min_f=-14.6284
q=3 t=18 f=-14.6234 min_f=-14.6284
q=3 t=19 f=-14.6283 min_f=-14.6284
q=4 t=0 f=-14.8675 min_f=-14.8675
q=4 t=1 f=-14.8675 min_f=-14.8675
q=4 t=2 f=-14.8674 min_f=-14.8675
q=4 t=3 f=-14.8674 min_f=-14.8675
q=4 t=4 f=-14.8674 min_f=-14.8675
q=4 t=5 f=-14.8675 min_f=-14.8675
q=4 t=6 f=-14.8674 min_f=-14.8675
