q=1 t=1 f=-14.2367 min_f=-14.2367
q=2 t=0 f=-14.2558 min_f=-14.2558
q=2 t=1 f=-14.2506 min_f=-14.2558
q=2 t=2 f=-14.256 min_f=-14.256
q=2 t=3 f=-14.2558 min_f=-14.256
q=2 t=4 f=-14.2563 min_f=-14.2563
q=2 t=5 f=-14.257 min_f=-14.257
q=2 t=6 f=-14.2563 min_f=-14.257
q=2 t=7 f=-14.2557 min_f=-14.257
q=2 t=8 f=-14.257 min_f=-14.257
q=2 t=9 f=-14.2558 min_f=-14.257
q=2 t=10 f=-14.2558 min_f=-14.257
q=2 t=11 f=-14.257 min_f=-14.257
q=2 t=12 f=-14.2557 min_f=-14.257
q=2 t=13 f=-14.2558 min_f=-14.257
q=2 t=14 f=-14.2574 min_f=-14.2574
q=2 t=15 f=-14.2574 min_f=-14.2574
q=2 t=16 f=-14.2574 min_f=-14.2574
q=2 t=17 f=-14.2572 min_f=-14.2574
q=2 t=18 f=-14.2572 min_f=-14.2574
q=2 t=19 f=-14.2572 min_f=-14.2574
q=3 t=0 f=-14.2856 min_f=-14.2856
q=3 t=1 f=-14.2913 min_f=-14.2913
q=3 t=2 f=-14.294 min_f=-14.294
q=3 t=3 f=-14.2941 min_f=-14.2941
q=3 t=4 f=-14.2941 min_f=-14.2941
q=3 t=5 f=-14.2861 min_f=-14.2941
q=3 t=6 f=-14.294 min_f=-14.2941
q=3 t=7 f=-14.2854 min_f=-14.2941
q=3 t=8 f=-14.2914 min_f=-14.2941
q=3 t=9 f=-14.2926 min_f=-14.2941
q=3 t=10 f=-14.2919 min_f=-14.2941
q=3 t=11 f=-14.2854 min_f=-14.2941
q=3 t=12 f=-14.2913 min_f=-14.2941
q=3 t=13 f=-14.2854 min_f=-14.2941
q=3 t=14 f=-14.2915 min_f=-14.2941
q=3 t=15 f=-14.294 min_f=-14.2941
q=3 t=16 f=-14.2895 min_f=-14.2941
q=3 t=17 f=-14.291 min_f=-14.2941
q=3 t=18 f=-14.2913 min_f=-14.2941
q=3 t=19 f=-14.2856 min_f=-14.2941
q=4 t=0 f=-14.3316 min_f=-14.3316
q=4 t=1 f=-14.3303 min_f=-14.3316
q=4 t=2 f=-14.3303 min_f=-14.3316
q=4 t=3 f=-14.3304 min_f=-14.3316
