q=1 t=1 f=-14.0916 min_f=-14.0916
q=2 t=0 f=-14.1863 min_f=-14.1863
q=2 t=1 f=-14.1862 min_f=-14.1863
q=2 t=2 f=-14.1846 min_f=-14.1863
q=2 t=3 f=-14.1846 min_f=-14.1863
q=2 t=4 f=-14.1862 min_f=-14.1863
q=2 t=5 f=-14.1863 min_f=-14.1863
q=2 t=6 f=-14.1846 min_f=-14.1863
q=2 t=7 f=-14.1846 min_f=-14.1863
q=2 t=8 f=-14.1846 min_f=-14.1863
q=2 t=9 f=-14.1869 min_f=-14.1869
q=2 t=10 f=-14.1868 min_f=-14.1869
q=2 t=11 f=-14.1862 min_f=-14.1869
q=2 t=12 f=-14.1846 min_f=-14.1869
q=2 t=13 f=-14.1869 min_f=-14.1869
q=2 t=14 f=-14.1863 min_f=-14.1869
q=2 t=15 f=-14.1846 min_f=-14.1869
q=2 t=16 f=-14.1846 min_f=-14.1869
q=2 t=17 f=-14.1868 min_f=-14.1869
q=2 t=18 f=-14.1869 min_f=-14.1869
q=2 t=19 f=-14.1869 min_f=-14.1869
q=3 t=0 f=-14.316 min_f=-14.316
q=3 t=1 f=-14.3118 min_f=-14.316
q=3 t=2 f=-14.3183 min_f=-14.3183
q=3 t=3 f=-14.3069 min_f=-14.3183
q=3 t=4 f=-14.3118 min_f=-14.3183
q=3 t=5 f=-14.3119 min_f=-14.3183
q=3 t=6 f=-14.3159 min_f=-14.3183
q=3 t=7 f=-14.3115 min_f=-14.3183
q=3 t=8 f=-14.3068 min_f=-14.3183
q=3 t=9 f=-14.3118 min_f=-14.3183
q=3 t=10 f=-14.3115 min_f=-14.3183
q=3 t=11 f=-14.3158 min_f=-14.3183
q=3 t=12 f=-14.3157 min_f=-14.3183
q=3 t=13 f=-14.3115 min_f=-14.3183
q=3 t=14 f=-14.312 min_f=-14.3183
q=3 t=15 f=-14.3057 min_f=-14.3183
q=3 t=16 f=-14.3184 min_f=-14.3184
q=3 t=17 f=-14.3118 min_f=-14.3184
q=3 t=18 f=-14.3116 min_f=-14.3184
q=3 t=19 f=-14.3116 min_f=-14.3184
q=4 t=0 f=-14.4431 min_f=-14.4431
q=4 t=1 f=-14.4429 min_f=-14.4431
q=4 t=2 f=-14.4428 min_f=-14.4431
q=4 t=3 f=-14.443 min_f=-14.4431
q=4 t=4 f=-14.443 min_f=-14.4431
q=4 t=5 f=-14.4431 min_f=-14.4431
q=4 t=6 f=-14.4429 min_f=-14.4431
q=4 t=7 f=-14.4431 min_f=-14.4431
q=4 t=8 f=-14.4432 min_f=-14.4432
q=4 t=9 f=-14.443 min_f=-14.4432
q=4 t=10 f=-14.443 min_f=-14.4432
q=4 t=11 f=-14.443 min_f=-14.4432
q=4 t=12 f=-14.443 min_f=-14.4432
q=4 t=13 f=-14.4429 min_f=-14.4432
q=4 t=14 f=-14.4432 min_f=-14.4432
q=4 t=15 f=-14.4429 min_f=-14.4432
q=4 t=16 f=-14.443 min_f=-14.4432
q=4 t=17 f=-14.443 min_f=-14.4432
q=4 t=18 f=-14.4431 min_f=-14.4432
q=4 t=19 f=-14.4432 min_f=-14.4432
q=5 t=0 f=-14.4427 min_f=-14.4427
q=5 t=1 f=-14.4426 min_f=-14.4427
q=5 t=2 f=-14.4429 min_f=-14.4429
q=5 t=3 f=-14.4427 min_f=-14.4429
q=5 t=4 f=-14.4426 min_f=-14.4429
q=5 t=5 f=-14.4427 min_f=-14.4429
q=5 t=6 f=-14.4432 min_f=-14.4432
q=5 t=7 f=-14.4428 min_f=-14.4432
q=5 t=8 f=-14.4427 min_f=-14.4432
q=5 t=9 f=-14.4428 min_f=-14.4432
q=5 t=10 f=-14.4429 min_f=-14.4432
q=5 t=11 f=-14.4432 min_f=-14.4432
q=5 t=12 f=-14.4427 min_f=-14.4432
q=5 t=13 f=-14.4427 min_f=-14.4432
q=5 t=14 f=-14.4428 min_f=-14.4432
q=5 t=15 f=-14.4427 min_f=-14.4432
q=5 t=16 f=-14.4427 min_f=-14.4432
q=5 t=17 f=-14.4427 min_f=-14.4432
q=5 t=18 f=-14.4429 min_f=-14.4432
q=5 t=19 f=-14.4427 min_f=-14.4432
q=6 t=0 f=-14.4435 min_f=-14.4435
q=6 t=1 f=-14.4428 min_f=-14.4435
q=6 t=2 f=-14.4428 min_f=-14.4435
q=6 t=3 f=-14.4427 min_f=-14.4435
q=6 t=4 f=-14.4427 min_f=-14.4435
q=6 t=5 f=-14.4429 min_f=-14.4435
q=6 t=6 f=-14.4427 min_f=-14.4435
q=6 t=7 f=-14.4428 min_f=-14.4435
q=6 t=8 f=-14.4429 min_f=-14.4435
q=6 t=9 f=-14.4429 min_f=-14.4435
q=6 t=10 f=-14.4426 min_f=-14.4435
q=6 t=11 f=-14.4427 min_f=-14.4435
q=6 t=12 f=-14.4431 min_f=-14.4435
q=6 t=13 f=-14.443 min_f=-14.4435
q=6 t=14 f=-14.4429 min_f=-14.4435
q=6 t=15 f=-14.4429 min_f=-14.4435
q=6 t=16 f=-14.4427 min_f=-14.4435
q=6 t=17 f=-14.4428 min_f=-14.4435
q=6 t=18 f=-14.4429 min_f=-14.4435
q=6 t=19 f=-14.4428 min_f=-14.4435
q=7 t=0 f=-14.4427 min_f=-14.4427
q=7 t=1 f=-14.4429 min_f=-14.4429
q=7 t=2 f=-14.4433 min_f=-14.4433
q=7 t=3 f=-14.4429 min_f=-14.4433
q=7 t=4 f=-14.4428 min_f=-14.4433
q=7 t=5 f=-14.4427 min_f=-14.4433
q=7 t=6 f=-14.4429 min_f=-14.4433
q=7 t=7 f=-14.4427 min_f=-14.4433
q=7 t=8 f=-14.4427 min_f=-14.4433
q=7 t=9 f=-14.4433 min_f=-14.4433
q=7 t=10 f=-14.4427 min_f=-14.4433
q=7 t=11 f=-14.443 min_f=-14.4433
q=7 t=12 f=-14.4429 min_f=-14.4433
q=7 t=13 f=-14.4432 min_f=-14.4433
q=7 t=14 f=-14.4428 min_f=-14.4433
q=7 t=15 f=-14.4427 min_f=-14.4433
q=7 t=16 f=-14.443 min_f=-14.4433
q=7 t=17 f=-14.4429 min_f=-14.4433
q=7 t=18 f=-14.4429 min_f=-14.4433
q=7 t=19 f=-14.4427 min_f=-14.4433
Finial result number of group 4
