q=1 t=1 f=-14.1276 min_f=-14.1276
q=2 t=0 f=-14.5349 min_f=-14.5349
q=2 t=1 f=-14.535 min_f=-14.535
q=2 t=2 f=-14.5349 min_f=-14.535
q=2 t=3 f=-14.535 min_f=-14.535
q=2 t=4 f=-14.5349 min_f=-14.535
q=2 t=5 f=-14.5349 min_f=-14.535
q=2 t=6 f=-14.5267 min_f=-14.535
q=2 t=7 f=-14.5266 min_f=-14.535
q=2 t=8 f=-14.5267 min_f=-14.535
q=2 t=9 f=-14.5266 min_f=-14.535
q=2 t=10 f=-14.5251 min_f=-14.535
q=2 t=11 f=-14.5265 min_f=-14.535
q=2 t=12 f=-14.5248 min_f=-14.535
q=2 t=13 f=-14.5251 min_f=-14.535
q=2 t=14 f=-14.5265 min_f=-14.535
q=2 t=15 f=-14.5269 min_f=-14.535
q=2 t=16 f=-14.525 min_f=-14.535
q=2 t=17 f=-14.5349 min_f=-14.535
q=2 t=18 f=-14.5349 min_f=-14.535
q=2 t=19 f=-14.5348 min_f=-14.535
q=3 t=0 f=-14.9115 min_f=-14.9115
q=3 t=1 f=-14.9109 min_f=-14.9115
q=3 t=2 f=-14.9125 min_f=-14.9125
q=3 t=3 f=-14.911 min_f=-14.9125
q=3 t=4 f=-14.9119 min_f=-14.9125
q=3 t=5 f=-14.8748 min_f=-14.9125
q=3 t=6 f=-14.9119 min_f=-14.9125
q=3 t=7 f=-14.9124 min_f=-14.9125
q=3 t=8 f=-14.8754 min_f=-14.9125
q=3 t=9 f=-14.9131 min_f=-14.9131
q=3 t=10 f=-14.9109 min_f=-14.9131
q=3 t=11 f=-14.911 min_f=-14.9131
q=3 t=12 f=-14.9124 min_f=-14.9131
q=3 t=13 f=-14.9105 min_f=-14.9131
q=3 t=14 f=-14.9111 min_f=-14.9131
q=3 t=15 f=-14.9125 min_f=-14.9131
q=3 t=16 f=-14.913 min_f=-14.9131
q=3 t=17 f=-14.9283 min_f=-14.9283
q=3 t=18 f=-14.9111 min_f=-14.9283
q=3 t=19 f=-14.911 min_f=-14.9283
q=4 t=0 f=-15.2711 min_f=-15.2711
q=4 t=1 f=-15.2711 min_f=-15.2711
q=4 t=2 f=-15.2736 min_f=-15.2736
q=4 t=3 f=-15.2711 min_f=-15.2736
q=4 t=4 f=-15.2722 min_f=-15.2736
q=4 t=5 f=-15.2746 min_f=-15.2746
q=4 t=6 f=-15.272 min_f=-15.2746
q=4 t=7 f=-15.2711 min_f=-15.2746
q=4 t=8 f=-15.2723 min_f=-15.2746
q=4 t=9 f=-15.2723 min_f=-15.2746
q=4 t=10 f=-15.2723 min_f=-15.2746
q=4 t=11 f=-15.2734 min_f=-15.2746
q=4 t=12 f=-15.2722 min_f=-15.2746
q=4 t=13 f=-15.2711 min_f=-15.2746
q=4 t=14 f=-15.2736 min_f=-15.2746
q=4 t=15 f=-15.272 min_f=-15.2746
q=4 t=16 f=-15.272 min_f=-15.2746
q=4 t=17 f=-15.2734 min_f=-15.2746
q=4 t=18 f=-15.272 min_f=-15.2746
q=4 t=19 f=-15.272 min_f=-15.2746
q=5 t=0 f=-15.2718 min_f=-15.2718
q=5 t=1 f=-15.2713 min_f=-15.2718
q=5 t=2 f=-15.2718 min_f=-15.2718
q=5 t=3 f=-15.2713 min_f=-15.2718
q=5 t=4 f=-15.2709 min_f=-15.2718
q=5 t=5 f=-15.2733 min_f=-15.2733
q=5 t=6 f=-15.2733 min_f=-15.2733
q=5 t=7 f=-15.2753 min_f=-15.2753
q=5 t=8 f=-15.2718 min_f=-15.2753
q=5 t=9 f=-15.2709 min_f=-15.2753
q=5 t=10 f=-15.2713 min_f=-15.2753
q=5 t=11 f=-15.2713 min_f=-15.2753
q=5 t=12 f=-15.2713 min_f=-15.2753
q=5 t=13 f=-15.2733 min_f=-15.2753
q=5 t=14 f=-15.2713 min_f=-15.2753
q=5 t=15 f=-15.2713 min_f=-15.2753
q=5 t=16 f=-15.2713 min_f=-15.2753
q=5 t=17 f=-15.2719 min_f=-15.2753
q=5 t=18 f=-15.2733 min_f=-15.2753
q=5 t=19 f=-15.2718 min_f=-15.2753
q=6 t=0 f=-15.2755 min_f=-15.2755
q=6 t=1 f=-15.272 min_f=-15.2755
q=6 t=2 f=-15.272 min_f=-15.2755
q=6 t=3 f=-15.2715 min_f=-15.2755
q=6 t=4 f=-15.2715 min_f=-15.2755
q=6 t=5 f=-15.2718 min_f=-15.2755
q=6 t=6 f=-15.272 min_f=-15.2755
q=6 t=7 f=-15.271 min_f=-15.2755
q=6 t=8 f=-15.2721 min_f=-15.2755
q=6 t=9 f=-15.271 min_f=-15.2755
q=6 t=10 f=-15.2714 min_f=-15.2755
q=6 t=11 f=-15.274 min_f=-15.2755
q=6 t=12 f=-15.2706 min_f=-15.2755
q=6 t=13 f=-15.2712 min_f=-15.2755
q=6 t=14 f=-15.271 min_f=-15.2755
q=6 t=15 f=-15.271 min_f=-15.2755
q=6 t=16 f=-15.272 min_f=-15.2755
q=6 t=17 f=-15.2706 min_f=-15.2755
q=6 t=18 f=-15.272 min_f=-15.2755
q=6 t=19 f=-15.2715 min_f=-15.2755
q=7 t=0 f=-15.2705 min_f=-15.2705
q=7 t=1 f=-15.2715 min_f=-15.2715
q=7 t=2 f=-15.2707 min_f=-15.2715
q=7 t=3 f=-15.2714 min_f=-15.2715
q=7 t=4 f=-15.2739 min_f=-15.2739
q=7 t=5 f=-15.2708 min_f=-15.2739
q=7 t=6 f=-15.2708 min_f=-15.2739
q=7 t=7 f=-15.2716 min_f=-15.2739
q=7 t=8 f=-15.2751 min_f=-15.2751
q=7 t=9 f=-15.2714 min_f=-15.2751
q=7 t=10 f=-15.2716 min_f=-15.2751
q=7 t=11 f=-15.2708 min_f=-15.2751
q=7 t=12 f=-15.272 min_f=-15.2751
q=7 t=13 f=-15.2705 min_f=-15.2751
q=7 t=14 f=-15.2726 min_f=-15.2751
q=7 t=15 f=-15.2714 min_f=-15.2751
q=7 t=16 f=-15.2716 min_f=-15.2751
q=7 t=17 f=-15.2708 min_f=-15.2751
q=7 t=18 f=-15.2729 min_f=-15.2751
q=7 t=19 f=-15.2705 min_f=-15.2751
Finial result number of group 6
