q=1 t=1 f=-14.3229 min_f=-14.3229
q=2 t=0 f=-14.6371 min_f=-14.6371
q=2 t=1 f=-14.6374 min_f=-14.6374
q=2 t=2 f=-14.6409 min_f=-14.6409
q=2 t=3 f=-14.6218 min_f=-14.6409
q=2 t=4 f=-14.6422 min_f=-14.6422
q=2 t=5 f=-14.6376 min_f=-14.6422
q=2 t=6 f=-14.6225 min_f=-14.6422
q=2 t=7 f=-14.6376 min_f=-14.6422
q=2 t=8 f=-14.6372 min_f=-14.6422
q=2 t=9 f=-14.6375 min_f=-14.6422
q=2 t=10 f=-14.641 min_f=-14.6422
q=2 t=11 f=-14.6227 min_f=-14.6422
q=2 t=12 f=-14.6377 min_f=-14.6422
q=2 t=13 f=-14.6225 min_f=-14.6422
q=2 t=14 f=-14.6422 min_f=-14.6422
q=2 t=15 f=-14.6372 min_f=-14.6422
q=2 t=16 f=-14.6409 min_f=-14.6422
q=2 t=17 f=-14.6375 min_f=-14.6422
q=2 t=18 f=-14.6376 min_f=-14.6422
q=2 t=19 f=-14.6371 min_f=-14.6422
q=3 t=0 f=-14.9574 min_f=-14.9574
q=3 t=1 f=-14.9578 min_f=-14.9578
q=3 t=2 f=-14.9575 min_f=-14.9578
q=3 t=3 f=-14.9575 min_f=-14.9578
q=3 t=4 f=-14.9435 min_f=-14.9578
q=3 t=5 f=-14.9271 min_f=-14.9578
q=3 t=6 f=-14.9439 min_f=-14.9578
q=3 t=7 f=-14.9573 min_f=-14.9578
q=3 t=8 f=-14.9439 min_f=-14.9578
q=3 t=9 f=-14.9435 min_f=-14.9578
q=3 t=10 f=-14.9555 min_f=-14.9578
q=3 t=11 f=-14.9575 min_f=-14.9578
q=3 t=12 f=-14.9555 min_f=-14.9578
q=3 t=13 f=-14.9555 min_f=-14.9578
q=3 t=14 f=-14.9448 min_f=-14.9578
q=3 t=15 f=-14.9555 min_f=-14.9578
q=3 t=16 f=-14.9452 min_f=-14.9578
q=3 t=17 f=-14.9435 min_f=-14.9578
q=3 t=18 f=-14.9559 min_f=-14.9578
q=3 t=19 f=-14.9574 min_f=-14.9578
q=4 t=0 f=-15.2485 min_f=-15.2485
q=4 t=1 f=-15.2485 min_f=-15.2485
q=4 t=2 f=-15.2477 min_f=-15.2485
q=4 t=3 f=-15.2494 min_f=-15.2494
q=4 t=4 f=-15.2477 min_f=-15.2494
q=4 t=5 f=-15.2479 min_f=-15.2494
q=4 t=6 f=-15.2478 min_f=-15.2494
q=4 t=7 f=-15.2481 min_f=-15.2494
q=4 t=8 f=-15.248 min_f=-15.2494
q=4 t=9 f=-15.2477 min_f=-15.2494
q=4 t=10 f=-15.2471 min_f=-15.2494
q=4 t=11 f=-15.2499 min_f=-15.2499
q=4 t=12 f=-15.2485 min_f=-15.2499
q=4 t=13 f=-15.2473 min_f=-15.2499
q=4 t=14 f=-15.2477 min_f=-15.2499
q=4 t=15 f=-15.2478 min_f=-15.2499
q=4 t=16 f=-15.2485 min_f=-15.2499
q=4 t=17 f=-15.2476 min_f=-15.2499
q=4 t=18 f=-15.248 min_f=-15.2499
q=4 t=19 f=-15.2478 min_f=-15.2499
q=5 t=0 f=-15.2483 min_f=-15.2483
q=5 t=1 f=-15.2495 min_f=-15.2495
q=5 t=2 f=-15.2479 min_f=-15.2495
q=5 t=3 f=-15.2487 min_f=-15.2495
q=5 t=4 f=-15.2487 min_f=-15.2495
q=5 t=5 f=-15.2494 min_f=-15.2495
q=5 t=6 f=-15.2474 min_f=-15.2495
q=5 t=7 f=-15.2494 min_f=-15.2495
q=5 t=8 f=-15.2487 min_f=-15.2495
q=5 t=9 f=-15.248 min_f=-15.2495
q=5 t=10 f=-15.2473 min_f=-15.2495
q=5 t=11 f=-15.2479 min_f=-15.2495
q=5 t=12 f=-15.2488 min_f=-15.2495
q=5 t=13 f=-15.2479 min_f=-15.2495
q=5 t=14 f=-15.2475 min_f=-15.2495
q=5 t=15 f=-15.2479 min_f=-15.2495
q=5 t=16 f=-15.2482 min_f=-15.2495
q=5 t=17 f=-15.2494 min_f=-15.2495
q=5 t=18 f=-15.2494 min_f=-15.2495
q=5 t=19 f=-15.2494 min_f=-15.2495
q=6 t=0 f=-15.2472 min_f=-15.2472
q=6 t=1 f=-15.2477 min_f=-15.2477
q=6 t=2 f=-15.2483 min_f=-15.2483
q=6 t=3 f=-15.2491 min_f=-15.2491
q=6 t=4 f=-15.2478 min_f=-15.2491
q=6 t=5 f=-15.248 min_f=-15.2491
