q=1 t=1 f=-13.8419 min_f=-13.8419 detect_q=1
q=2 t=0 f=-14.1268 min_f=-14.1268 detect_q=2
q=2 t=1 f=-14.1445 min_f=-14.1445 detect_q=2
q=2 t=2 f=-14.1267 min_f=-14.1445 detect_q=2
q=2 t=3 f=-14.1267 min_f=-14.1445 detect_q=2
q=2 t=4 f=-14.1293 min_f=-14.1445 detect_q=2
q=2 t=5 f=-14.1446 min_f=-14.1446 detect_q=2
q=2 t=6 f=-14.1446 min_f=-14.1446 detect_q=2
q=2 t=7 f=-14.1293 min_f=-14.1446 detect_q=2
q=2 t=8 f=-14.1267 min_f=-14.1446 detect_q=2
q=2 t=9 f=-14.1442 min_f=-14.1446 detect_q=2
q=2 t=10 f=-14.1442 min_f=-14.1446 detect_q=2
q=2 t=11 f=-14.1446 min_f=-14.1446 detect_q=2
q=2 t=12 f=-14.1294 min_f=-14.1446 detect_q=2
q=2 t=13 f=-14.1441 min_f=-14.1446 detect_q=2
q=2 t=14 f=-14.1294 min_f=-14.1446 detect_q=2
q=2 t=15 f=-14.1446 min_f=-14.1446 detect_q=2
q=2 t=16 f=-14.1267 min_f=-14.1446 detect_q=2
q=2 t=17 f=-14.1442 min_f=-14.1446 detect_q=2
q=2 t=18 f=-14.1291 min_f=-14.1446 detect_q=2
q=2 t=19 f=-14.1293 min_f=-14.1446 detect_q=2
q=3 t=0 f=-14.4015 min_f=-14.4015 detect_q=3
q=3 t=1 f=-14.4398 min_f=-14.4398 detect_q=3
q=3 t=2 f=-14.4193 min_f=-14.4398 detect_q=3
q=3 t=3 f=-14.4391 min_f=-14.4398 detect_q=3
q=3 t=4 f=-14.4388 min_f=-14.4398 detect_q=3
q=3 t=5 f=-14.4392 min_f=-14.4398 detect_q=3
q=3 t=6 f=-14.4254 min_f=-14.4398 detect_q=3
q=3 t=7 f=-14.4195 min_f=-14.4398 detect_q=3
q=3 t=8 f=-14.4329 min_f=-14.4398 detect_q=3
q=3 t=9 f=-14.4391 min_f=-14.4398 detect_q=3
q=3 t=10 f=-14.4264 min_f=-14.4398 detect_q=3
q=3 t=11 f=-14.4267 min_f=-14.4398 detect_q=3
q=3 t=12 f=-14.4193 min_f=-14.4398 detect_q=3
q=3 t=13 f=-14.4267 min_f=-14.4398 detect_q=3
q=3 t=14 f=-14.4333 min_f=-14.4398 detect_q=3
q=3 t=15 f=-14.4391 min_f=-14.4398 detect_q=3
q=3 t=16 f=-14.4193 min_f=-14.4398 detect_q=3
q=3 t=17 f=-14.4264 min_f=-14.4398 detect_q=3
q=3 t=18 f=-14.4394 min_f=-14.4398 detect_q=3
q=3 t=19 f=-14.4192 min_f=-14.4398 detect_q=3
q=4 t=0 f=-14.7202 min_f=-14.7202 detect_q=4
q=4 t=1 f=-14.7196 min_f=-14.7202 detect_q=4
q=4 t=2 f=-14.7195 min_f=-14.7202 detect_q=4
q=4 t=3 f=-14.7196 min_f=-14.7202 detect_q=4
q=4 t=4 f=-14.7195 min_f=-14.7202 detect_q=4
q=4 t=5 f=-14.72 min_f=-14.7202 detect_q=4
q=4 t=6 f=-14.7199 min_f=-14.7202 detect_q=4
q=4 t=7 f=-14.7207 min_f=-14.7207 detect_q=4
q=4 t=8 f=-14.7196 min_f=-14.7207 detect_q=4
q=4 t=9 f=-14.7195 min_f=-14.7207 detect_q=4
q=4 t=10 f=-14.7195 min_f=-14.7207 detect_q=4
q=4 t=11 f=-14.7196 min_f=-14.7207 detect_q=4
q=4 t=12 f=-14.7205 min_f=-14.7207 detect_q=4
q=4 t=13 f=-14.72 min_f=-14.7207 detect_q=4
q=4 t=14 f=-14.72 min_f=-14.7207 detect_q=4
q=4 t=15 f=-14.7195 min_f=-14.7207 detect_q=4
q=4 t=16 f=-14.7199 min_f=-14.7207 detect_q=4
q=4 t=17 f=-14.72 min_f=-14.7207 detect_q=4
q=4 t=18 f=-14.7196 min_f=-14.7207 detect_q=4
q=4 t=19 f=-14.7202 min_f=-14.7207 detect_q=4
q=5 t=0 f=-14.7199 min_f=-14.7199 detect_q=4
q=5 t=1 f=-14.7197 min_f=-14.7199 detect_q=4
q=5 t=2 f=-14.7199 min_f=-14.7199 detect_q=4
q=5 t=3 f=-14.7195 min_f=-14.7199 detect_q=4
q=5 t=4 f=-14.7194 min_f=-14.7199 detect_q=4
q=5 t=5 f=-14.7197 min_f=-14.7199 detect_q=4
q=5 t=6 f=-14.7194 min_f=-14.7199 detect_q=4
q=5 t=7 f=-14.7202 min_f=-14.7202 detect_q=4
q=5 t=8 f=-14.7197 min_f=-14.7202 detect_q=4
q=5 t=9 f=-14.7199 min_f=-14.7202 detect_q=4
q=5 t=10 f=-14.7194 min_f=-14.7202 detect_q=4
q=5 t=11 f=-14.7198 min_f=-14.7202 detect_q=4
q=5 t=12 f=-14.7199 min_f=-14.7202 detect_q=4
q=5 t=13 f=-14.7197 min_f=-14.7202 detect_q=4
q=5 t=14 f=-14.7196 min_f=-14.7202 detect_q=4
q=5 t=15 f=-14.7208 min_f=-14.7208 detect_q=4
q=5 t=16 f=-14.7198 min_f=-14.7208 detect_q=4
q=5 t=17 f=-14.7195 min_f=-14.7208 detect_q=4
q=5 t=18 f=-14.7198 min_f=-14.7208 detect_q=4
q=5 t=19 f=-14.7195 min_f=-14.7208 detect_q=4
q=6 t=0 f=-14.721 min_f=-14.721 detect_q=5
q=6 t=1 f=-14.7196 min_f=-14.721 detect_q=5
