q=1 t=1 f=-14.1149 min_f=-14.1149 detect_q=1
q=2 t=0 f=-14.2511 min_f=-14.2511 detect_q=2
q=2 t=1 f=-14.2512 min_f=-14.2512 detect_q=2
q=2 t=2 f=-14.2508 min_f=-14.2512 detect_q=2
q=2 t=3 f=-14.2512 min_f=-14.2512 detect_q=2
q=2 t=4 f=-14.2507 min_f=-14.2512 detect_q=2
q=2 t=5 f=-14.256 min_f=-14.256 detect_q=2
q=2 t=6 f=-14.2567 min_f=-14.2567 detect_q=2
q=2 t=7 f=-14.256 min_f=-14.2567 detect_q=2
q=2 t=8 f=-14.256 min_f=-14.2567 detect_q=2
q=2 t=9 f=-14.2571 min_f=-14.2571 detect_q=2
q=2 t=10 f=-14.256 min_f=-14.2571 detect_q=2
q=2 t=11 f=-14.2511 min_f=-14.2571 detect_q=2
q=2 t=12 f=-14.2571 min_f=-14.2571 detect_q=2
q=2 t=13 f=-14.256 min_f=-14.2571 detect_q=2
q=2 t=14 f=-14.2566 min_f=-14.2571 detect_q=2
q=2 t=15 f=-14.2508 min_f=-14.2571 detect_q=2
q=2 t=16 f=-14.256 min_f=-14.2571 detect_q=2
q=2 t=17 f=-14.256 min_f=-14.2571 detect_q=2
q=2 t=18 f=-14.2512 min_f=-14.2571 detect_q=2
q=2 t=19 f=-14.251 min_f=-14.2571 detect_q=2
q=3 t=0 f=-14.4239 min_f=-14.4239 detect_q=3
q=3 t=1 f=-14.4239 min_f=-14.4239 detect_q=3
q=3 t=2 f=-14.4151 min_f=-14.4239 detect_q=3
q=3 t=3 f=-14.4148 min_f=-14.4239 detect_q=3
q=3 t=4 f=-14.4403 min_f=-14.4403 detect_q=3
q=3 t=5 f=-14.4299 min_f=-14.4403 detect_q=3
q=3 t=6 f=-14.4157 min_f=-14.4403 detect_q=3
q=3 t=7 f=-14.4152 min_f=-14.4403 detect_q=3
q=3 t=8 f=-14.4242 min_f=-14.4403 detect_q=3
q=3 t=9 f=-14.4403 min_f=-14.4403 detect_q=3
q=3 t=10 f=-14.398 min_f=-14.4403 detect_q=3
q=3 t=11 f=-14.3982 min_f=-14.4403 detect_q=3
q=3 t=12 f=-14.4152 min_f=-14.4403 detect_q=3
q=3 t=13 f=-14.4392 min_f=-14.4403 detect_q=3
q=3 t=14 f=-14.4149 min_f=-14.4403 detect_q=3
q=3 t=15 f=-14.4401 min_f=-14.4403 detect_q=3
q=3 t=16 f=-14.4293 min_f=-14.4403 detect_q=3
q=3 t=17 f=-14.4155 min_f=-14.4403 detect_q=3
q=3 t=18 f=-14.4151 min_f=-14.4403 detect_q=3
q=3 t=19 f=-14.4237 min_f=-14.4403 detect_q=3
q=4 t=0 f=-14.595 min_f=-14.595 detect_q=4
q=4 t=1 f=-14.5939 min_f=-14.595 detect_q=4
q=4 t=2 f=-14.5952 min_f=-14.5952 detect_q=4
q=4 t=3 f=-14.5949 min_f=-14.5952 detect_q=4
q=4 t=4 f=-14.5944 min_f=-14.5952 detect_q=4
q=4 t=5 f=-14.5947 min_f=-14.5952 detect_q=4
q=4 t=6 f=-14.5949 min_f=-14.5952 detect_q=4
q=4 t=7 f=-14.595 min_f=-14.5952 detect_q=4
q=4 t=8 f=-14.594 min_f=-14.5952 detect_q=4
q=4 t=9 f=-14.5938 min_f=-14.5952 detect_q=4
q=4 t=10 f=-14.5934 min_f=-14.5952 detect_q=4
q=4 t=11 f=-14.5947 min_f=-14.5952 detect_q=4
q=4 t=12 f=-14.594 min_f=-14.5952 detect_q=4
q=4 t=13 f=-14.5935 min_f=-14.5952 detect_q=4
q=4 t=14 f=-14.5935 min_f=-14.5952 detect_q=4
q=4 t=15 f=-14.5939 min_f=-14.5952 detect_q=4
q=4 t=16 f=-14.5941 min_f=-14.5952 detect_q=4
q=4 t=17 f=-14.594 min_f=-14.5952 detect_q=4
q=4 t=18 f=-14.5939 min_f=-14.5952 detect_q=4
q=4 t=19 f=-14.5944 min_f=-14.5952 detect_q=4
q=5 t=0 f=-14.5932 min_f=-14.5932 detect_q=5
q=5 t=1 f=-14.5939 min_f=-14.5939 detect_q=4
q=5 t=2 f=-14.5939 min_f=-14.5939 detect_q=5
q=5 t=3 f=-14.593 min_f=-14.5939 detect_q=5
q=5 t=4 f=-14.5951 min_f=-14.5951 detect_q=4
q=5 t=5 f=-14.5928 min_f=-14.5951 detect_q=4
q=5 t=6 f=-14.5954 min_f=-14.5954 detect_q=4
q=5 t=7 f=-14.593 min_f=-14.5954 detect_q=5
q=5 t=8 f=-14.5939 min_f=-14.5954 detect_q=4
q=5 t=9 f=-14.5929 min_f=-14.5954 detect_q=4
q=5 t=10 f=-14.5939 min_f=-14.5954 detect_q=5
q=5 t=11 f=-14.594 min_f=-14.5954 detect_q=5
q=5 t=12 f=-14.593 min_f=-14.5954 detect_q=5
q=5 t=13 f=-14.593 min_f=-14.5954 detect_q=5
q=5 t=14 f=-14.5939 min_f=-14.5954 detect_q=5
q=5 t=15 f=-14.593 min_f=-14.5954 detect_q=5
q=5 t=16 f=-14.593 min_f=-14.5954 detect_q=5
q=5 t=17 f=-14.5935 min_f=-14.5954 detect_q=4
q=5 t=18 f=-14.5947 min_f=-14.5954 detect_q=5
q=5 t=19 f=-14.5947 min_f=-14.5954 detect_q=5
q=6 t=0 f=-14.5926 min_f=-14.5926 detect_q=5
q=6 t=1 f=-14.5934 min_f=-14.5934 detect_q=5
q=6 t=2 f=-14.5931 min_f=-14.5934 detect_q=6
q=6 t=3 f=-14.5942 min_f=-14.5942 detect_q=4
q=6 t=4 f=-14.5934 min_f=-14.5942 detect_q=5
q=6 t=5 f=-14.593 min_f=-14.5942 detect_q=5
q=6 t=6 f=-14.5931 min_f=-14.5942 detect_q=5
q=6 t=7 f=-14.5932 min_f=-14.5942 detect_q=5
q=6 t=8 f=-14.5934 min_f=-14.5942 detect_q=5
q=6 t=9 f=-14.593 min_f=-14.5942 detect_q=5
q=6 t=10 f=-14.5935 min_f=-14.5942 detect_q=4
q=6 t=11 f=-14.5935 min_f=-14.5942 detect_q=5
q=6 t=12 f=-14.5934 min_f=-14.5942 detect_q=5
q=6 t=13 f=-14.5926 min_f=-14.5942 detect_q=4
q=6 t=14 f=-14.5945 min_f=-14.5945 detect_q=5
q=6 t=15 f=-14.5931 min_f=-14.5945 detect_q=5
q=6 t=16 f=-14.5931 min_f=-14.5945 detect_q=5
q=6 t=17 f=-14.5929 min_f=-14.5945 detect_q=5
q=6 t=18 f=-14.5931 min_f=-14.5945 detect_q=5
q=6 t=19 f=-14.5934 min_f=-14.5945 detect_q=5
q=7 t=0 f=-14.5933 min_f=-14.5933 detect_q=5
q=7 t=1 f=-14.5928 min_f=-14.5933 detect_q=6
q=7 t=2 f=-14.5938 min_f=-14.5938 detect_q=4
q=7 t=3 f=-14.5934 min_f=-14.5938 detect_q=6
q=7 t=4 f=-14.5943 min_f=-14.5943 detect_q=5
q=7 t=5 f=-14.5934 min_f=-14.5943 detect_q=6
q=7 t=6 f=-14.5945 min_f=-14.5945 detect_q=6
q=7 t=7 f=-14.5929 min_f=-14.5945 detect_q=7
q=7 t=8 f=-14.5933 min_f=-14.5945 detect_q=6
q=7 t=9 f=-14.5936 min_f=-14.5945 detect_q=6
q=7 t=10 f=-14.5927 min_f=-14.5945 detect_q=6
q=7 t=11 f=-14.5936 min_f=-14.5945 detect_q=6
q=7 t=12 f=-14.5934 min_f=-14.5945 detect_q=5
q=7 t=13 f=-14.5925 min_f=-14.5945 detect_q=6
q=7 t=14 f=-14.5925 min_f=-14.5945 detect_q=6
q=7 t=15 f=-14.5934 min_f=-14.5945 detect_q=6
q=7 t=16 f=-14.5924 min_f=-14.5945 detect_q=6
q=7 t=17 f=-14.593 min_f=-14.5945 detect_q=6
q=7 t=18 f=-14.5944 min_f=-14.5945 detect_q=6
q=7 t=19 f=-14.5926 min_f=-14.5945 detect_q=6
Finial result number of group 4
