q=1 t=1 f=-14.1472 min_f=-14.1472 detect_q=1
q=2 t=0 f=-14.5569 min_f=-14.5569 detect_q=2
q=2 t=1 f=-14.5699 min_f=-14.5699 detect_q=2
q=2 t=2 f=-14.5702 min_f=-14.5702 detect_q=2
q=2 t=3 f=-14.5597 min_f=-14.5702 detect_q=2
q=2 t=4 f=-14.5695 min_f=-14.5702 detect_q=2
q=2 t=5 f=-14.5701 min_f=-14.5702 detect_q=2
q=2 t=6 f=-14.5596 min_f=-14.5702 detect_q=2
q=2 t=7 f=-14.5568 min_f=-14.5702 detect_q=2
q=2 t=8 f=-14.5596 min_f=-14.5702 detect_q=2
q=2 t=9 f=-14.5599 min_f=-14.5702 detect_q=2
q=2 t=10 f=-14.5595 min_f=-14.5702 detect_q=2
q=2 t=11 f=-14.5701 min_f=-14.5702 detect_q=2
q=2 t=12 f=-14.5572 min_f=-14.5702 detect_q=2
q=2 t=13 f=-14.5572 min_f=-14.5702 detect_q=2
q=2 t=14 f=-14.5695 min_f=-14.5702 detect_q=2
q=2 t=15 f=-14.57 min_f=-14.5702 detect_q=2
q=2 t=16 f=-14.5599 min_f=-14.5702 detect_q=2
q=2 t=17 f=-14.5597 min_f=-14.5702 detect_q=2
q=2 t=18 f=-14.5593 min_f=-14.5702 detect_q=2
q=2 t=19 f=-14.57 min_f=-14.5702 detect_q=2
q=3 t=0 f=-14.9674 min_f=-14.9674 detect_q=3
q=3 t=1 f=-14.9111 min_f=-14.9674 detect_q=3
q=3 t=2 f=-14.9679 min_f=-14.9679 detect_q=3
q=3 t=3 f=-14.9679 min_f=-14.9679 detect_q=3
q=3 t=4 f=-14.9581 min_f=-14.9679 detect_q=3
q=3 t=5 f=-14.9692 min_f=-14.9692 detect_q=3
q=3 t=6 f=-14.9368 min_f=-14.9692 detect_q=3
q=3 t=7 f=-14.9202 min_f=-14.9692 detect_q=3
q=3 t=8 f=-14.9378 min_f=-14.9692 detect_q=3
q=3 t=9 f=-14.9205 min_f=-14.9692 detect_q=3
q=3 t=10 f=-14.968 min_f=-14.9692 detect_q=3
q=3 t=11 f=-14.9683 min_f=-14.9692 detect_q=3
q=3 t=12 f=-14.9553 min_f=-14.9692 detect_q=3
q=3 t=13 f=-14.9683 min_f=-14.9692 detect_q=3
q=3 t=14 f=-14.9683 min_f=-14.9692 detect_q=3
q=3 t=15 f=-14.9683 min_f=-14.9692 detect_q=3
q=3 t=16 f=-14.9202 min_f=-14.9692 detect_q=3
q=3 t=17 f=-14.9368 min_f=-14.9692 detect_q=3
q=3 t=18 f=-14.9683 min_f=-14.9692 detect_q=3
q=3 t=19 f=-14.9679 min_f=-14.9692 detect_q=3
q=4 t=0 f=-15.3251 min_f=-15.3251 detect_q=4
q=4 t=1 f=-15.3268 min_f=-15.3268 detect_q=4
q=4 t=2 f=-15.3251 min_f=-15.3268 detect_q=4
q=4 t=3 f=-15.3248 min_f=-15.3268 detect_q=4
