q=1 t=1 f=-14.1613 min_f=-14.1613 detect_q=1
q=2 t=0 f=-14.1615 min_f=-14.1615 detect_q=2
q=2 t=1 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=2 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=3 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=4 f=-14.1614 min_f=-14.1615 detect_q=2
q=2 t=5 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=6 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=7 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=8 f=-14.1611 min_f=-14.1615 detect_q=2
q=2 t=9 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=10 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=11 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=12 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=13 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=14 f=-14.1614 min_f=-14.1615 detect_q=2
q=2 t=15 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=16 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=17 f=-14.1613 min_f=-14.1615 detect_q=2
q=2 t=18 f=-14.161 min_f=-14.1615 detect_q=2
q=2 t=19 f=-14.1613 min_f=-14.1615 detect_q=2
q=3 t=0 f=-14.1613 min_f=-14.1613 detect_q=3
q=3 t=1 f=-14.1613 min_f=-14.1613 detect_q=3
q=3 t=2 f=-14.1612 min_f=-14.1613 detect_q=3
q=3 t=3 f=-14.1612 min_f=-14.1613 detect_q=3
q=3 t=4 f=-14.1614 min_f=-14.1614 detect_q=3
q=3 t=5 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=6 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=7 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=8 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=9 f=-14.1612 min_f=-14.1614 detect_q=3
q=3 t=10 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=11 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=12 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=13 f=-14.1612 min_f=-14.1614 detect_q=3
q=3 t=14 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=15 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=16 f=-14.1612 min_f=-14.1614 detect_q=3
q=3 t=17 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=18 f=-14.1613 min_f=-14.1614 detect_q=3
q=3 t=19 f=-14.1614 min_f=-14.1614 detect_q=3
q=4 t=0 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=1 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=2 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=3 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=4 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=5 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=6 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=7 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=8 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=9 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=10 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=11 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=12 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=13 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=14 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=15 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=16 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=17 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=18 f=-14.1613 min_f=-14.1613 detect_q=4
q=4 t=19 f=-14.1613 min_f=-14.1613 detect_q=4
q=5 t=0 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=1 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=2 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=3 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=4 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=5 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=6 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=7 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=8 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=9 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=10 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=11 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=12 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=13 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=14 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=15 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=16 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=17 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=18 f=-14.1613 min_f=-14.1613 detect_q=5
q=5 t=19 f=-14.1613 min_f=-14.1613 detect_q=5
q=6 t=0 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=1 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=2 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=3 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=4 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=5 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=6 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=7 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=8 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=9 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=10 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=11 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=12 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=13 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=14 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=15 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=16 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=17 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=18 f=-14.1613 min_f=-14.1613 detect_q=6
q=6 t=19 f=-14.1613 min_f=-14.1613 detect_q=6
q=7 t=0 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=1 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=2 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=3 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=4 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=5 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=6 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=7 f=-14.1613 min_f=-14.1613 detect_q=7
q=7 t=8 f=-14.1613 min_f=-14.1613 detect_q=7
