q=1 t=1 f=-14.1718 min_f=-14.1718 detect_q=1
q=2 t=0 f=-14.1978 min_f=-14.1978 detect_q=2
q=2 t=1 f=-14.1966 min_f=-14.1978 detect_q=2
q=2 t=2 f=-14.1965 min_f=-14.1978 detect_q=2
q=2 t=3 f=-14.1963 min_f=-14.1978 detect_q=2
q=2 t=4 f=-14.193 min_f=-14.1978 detect_q=2
q=2 t=5 f=-14.1963 min_f=-14.1978 detect_q=2
q=2 t=6 f=-14.1966 min_f=-14.1978 detect_q=2
q=2 t=7 f=-14.1975 min_f=-14.1978 detect_q=2
q=2 t=8 f=-14.1965 min_f=-14.1978 detect_q=2
q=2 t=9 f=-14.1967 min_f=-14.1978 detect_q=2
q=2 t=10 f=-14.1978 min_f=-14.1978 detect_q=2
q=2 t=11 f=-14.1977 min_f=-14.1978 detect_q=2
q=2 t=12 f=-14.1979 min_f=-14.1979 detect_q=2
q=2 t=13 f=-14.1975 min_f=-14.1979 detect_q=2
q=2 t=14 f=-14.1963 min_f=-14.1979 detect_q=2
q=2 t=15 f=-14.1975 min_f=-14.1979 detect_q=2
q=2 t=16 f=-14.1965 min_f=-14.1979 detect_q=2
q=2 t=17 f=-14.1963 min_f=-14.1979 detect_q=2
q=2 t=18 f=-14.1929 min_f=-14.1979 detect_q=2
q=2 t=19 f=-14.1978 min_f=-14.1979 detect_q=2
q=3 t=0 f=-14.2443 min_f=-14.2443 detect_q=3
q=3 t=1 f=-14.2453 min_f=-14.2453 detect_q=3
q=3 t=2 f=-14.2451 min_f=-14.2453 detect_q=3
q=3 t=3 f=-14.2453 min_f=-14.2453 detect_q=3
q=3 t=4 f=-14.234 min_f=-14.2453 detect_q=3
q=3 t=5 f=-14.2324 min_f=-14.2453 detect_q=3
q=3 t=6 f=-14.2346 min_f=-14.2453 detect_q=3
q=3 t=7 f=-14.2451 min_f=-14.2453 detect_q=3
q=3 t=8 f=-14.2451 min_f=-14.2453 detect_q=3
q=3 t=9 f=-14.239 min_f=-14.2453 detect_q=3
q=3 t=10 f=-14.2399 min_f=-14.2453 detect_q=3
q=3 t=11 f=-14.2324 min_f=-14.2453 detect_q=3
q=3 t=12 f=-14.2453 min_f=-14.2453 detect_q=3
q=3 t=13 f=-14.2325 min_f=-14.2453 detect_q=3
q=3 t=14 f=-14.2451 min_f=-14.2453 detect_q=3
q=3 t=15 f=-14.239 min_f=-14.2453 detect_q=3
q=3 t=16 f=-14.239 min_f=-14.2453 detect_q=3
q=3 t=17 f=-14.2451 min_f=-14.2453 detect_q=3
q=3 t=18 f=-14.2401 min_f=-14.2453 detect_q=3
q=3 t=19 f=-14.2451 min_f=-14.2453 detect_q=3
q=4 t=0 f=-14.2816 min_f=-14.2816 detect_q=4
q=4 t=1 f=-14.2818 min_f=-14.2818 detect_q=4
q=4 t=2 f=-14.2816 min_f=-14.2818 detect_q=4
q=4 t=3 f=-14.2818 min_f=-14.2818 detect_q=4
q=4 t=4 f=-14.2816 min_f=-14.2818 detect_q=4
q=4 t=5 f=-14.2818 min_f=-14.2818 detect_q=4
q=4 t=6 f=-14.2818 min_f=-14.2818 detect_q=4
q=4 t=7 f=-14.2818 min_f=-14.2818 detect_q=4
q=4 t=8 f=-14.2823 min_f=-14.2823 detect_q=4
q=4 t=9 f=-14.282 min_f=-14.2823 detect_q=4
q=4 t=10 f=-14.2818 min_f=-14.2823 detect_q=4
q=4 t=11 f=-14.2818 min_f=-14.2823 detect_q=4
q=4 t=12 f=-14.2817 min_f=-14.2823 detect_q=4
q=4 t=13 f=-14.2825 min_f=-14.2825 detect_q=4
q=4 t=14 f=-14.2817 min_f=-14.2825 detect_q=4
q=4 t=15 f=-14.2816 min_f=-14.2825 detect_q=4
q=4 t=16 f=-14.2823 min_f=-14.2825 detect_q=4
q=4 t=17 f=-14.2817 min_f=-14.2825 detect_q=4
q=4 t=18 f=-14.2818 min_f=-14.2825 detect_q=4
q=4 t=19 f=-14.2824 min_f=-14.2825 detect_q=4
q=5 t=0 f=-14.282 min_f=-14.282 detect_q=4
q=5 t=1 f=-14.2829 min_f=-14.2829 detect_q=4
q=5 t=2 f=-14.2819 min_f=-14.2829 detect_q=4
q=5 t=3 f=-14.2817 min_f=-14.2829 detect_q=4
q=5 t=4 f=-14.2817 min_f=-14.2829 detect_q=4
q=5 t=5 f=-14.2818 min_f=-14.2829 detect_q=4
q=5 t=6 f=-14.282 min_f=-14.2829 detect_q=4
q=5 t=7 f=-14.2824 min_f=-14.2829 detect_q=4
q=5 t=8 f=-14.282 min_f=-14.2829 detect_q=4
q=5 t=9 f=-14.2822 min_f=-14.2829 detect_q=4
q=5 t=10 f=-14.2816 min_f=-14.2829 detect_q=4
q=5 t=11 f=-14.2824 min_f=-14.2829 detect_q=4
q=5 t=12 f=-14.2826 min_f=-14.2829 detect_q=4
q=5 t=13 f=-14.2819 min_f=-14.2829 detect_q=4
q=5 t=14 f=-14.2818 min_f=-14.2829 detect_q=4
q=5 t=15 f=-14.2819 min_f=-14.2829 detect_q=4
q=5 t=16 f=-14.2819 min_f=-14.2829 detect_q=4
q=5 t=17 f=-14.282 min_f=-14.2829 detect_q=4
q=5 t=18 f=-14.2819 min_f=-14.2829 detect_q=4
q=5 t=19 f=-14.2824 min_f=-14.2829 detect_q=4
q=6 t=0 f=-14.2816 min_f=-14.2816 detect_q=4
q=6 t=1 f=-14.2821 min_f=-14.2821 detect_q=4
q=6 t=2 f=-14.2816 min_f=-14.2821 detect_q=6
q=6 t=3 f=-14.283 min_f=-14.283 detect_q=4
q=6 t=4 f=-14.2813 min_f=-14.283 detect_q=6
q=6 t=5 f=-14.2815 min_f=-14.283 detect_q=4
q=6 t=6 f=-14.2815 min_f=-14.283 detect_q=5
q=6 t=7 f=-14.2815 min_f=-14.283 detect_q=4
q=6 t=8 f=-14.2825 min_f=-14.283 detect_q=6
q=6 t=9 f=-14.2821 min_f=-14.283 detect_q=4
q=6 t=10 f=-14.2818 min_f=-14.283 detect_q=4
q=6 t=11 f=-14.2812 min_f=-14.283 detect_q=4
q=6 t=12 f=-14.2813 min_f=-14.283 detect_q=5
q=6 t=13 f=-14.2816 min_f=-14.283 detect_q=5
q=6 t=14 f=-14.2818 min_f=-14.283 detect_q=4
q=6 t=15 f=-14.2814 min_f=-14.283 detect_q=4
q=6 t=16 f=-14.282 min_f=-14.283 detect_q=6
q=6 t=17 f=-14.2826 min_f=-14.283 detect_q=4
q=6 t=18 f=-14.2817 min_f=-14.283 detect_q=4
q=6 t=19 f=-14.2816 min_f=-14.283 detect_q=4
q=7 t=0 f=-14.2818 min_f=-14.2818 detect_q=4
q=7 t=1 f=-14.2825 min_f=-14.2825 detect_q=4
q=7 t=2 f=-14.2817 min_f=-14.2825 detect_q=4
q=7 t=3 f=-14.2814 min_f=-14.2825 detect_q=5
q=7 t=4 f=-14.2818 min_f=-14.2825 detect_q=4
q=7 t=5 f=-14.2815 min_f=-14.2825 detect_q=4
q=7 t=6 f=-14.2814 min_f=-14.2825 detect_q=5
q=7 t=7 f=-14.2821 min_f=-14.2825 detect_q=4
q=7 t=8 f=-14.2815 min_f=-14.2825 detect_q=4
q=7 t=9 f=-14.2826 min_f=-14.2826 detect_q=4
q=7 t=10 f=-14.2819 min_f=-14.2826 detect_q=4
q=7 t=11 f=-14.2811 min_f=-14.2826 detect_q=5
