q=6 t=17 f=-14.1172 min_f=-14.1197 detect_q=5
q=6 t=18 f=-14.1173 min_f=-14.1197 detect_q=5
q=6 t=19 f=-14.1184 min_f=-14.1197 detect_q=6
q=7 t=0 f=-14.1175 min_f=-14.1175 detect_q=5
q=7 t=1 f=-14.1173 min_f=-14.1175 detect_q=5
q=7 t=2 f=-14.1178 min_f=-14.1178 detect_q=5
q=7 t=3 f=-14.1196 min_f=-14.1196 detect_q=5
q=7 t=4 f=-14.1163 min_f=-14.1196 detect_q=5
q=7 t=5 f=-14.1163 min_f=-14.1196 detect_q=5
q=7 t=6 f=-14.1166 min_f=-14.1196 detect_q=5
q=7 t=7 f=-14.117 min_f=-14.1196 detect_q=6
q=7 t=8 f=-14.1179 min_f=-14.1196 detect_q=5
q=7 t=9 f=-14.1187 min_f=-14.1196 detect_q=7
q=7 t=10 f=-14.1174 min_f=-14.1196 detect_q=5
q=7 t=11 f=-14.117 min_f=-14.1196 detect_q=5
q=7 t=12 f=-14.1168 min_f=-14.1196 detect_q=5
q=7 t=13 f=-14.1162 min_f=-14.1196 detect_q=5
q=7 t=14 f=-14.1175 min_f=-14.1196 detect_q=5
q=7 t=15 f=-14.1165 min_f=-14.1196 detect_q=5
q=7 t=16 f=-14.1177 min_f=-14.1196 detect_q=5
q=7 t=17 f=-14.1165 min_f=-14.1196 detect_q=5
q=7 t=18 f=-14.116 min_f=-14.1196 detect_q=5
q=7 t=19 f=-14.1172 min_f=-14.1196 detect_q=5
Finial result number of group 6
