q=1 t=1 f=-14.5324 min_f=-14.5324 detect_q=1
q=2 t=0 f=-14.5414 min_f=-14.5414 detect_q=2
q=2 t=1 f=-14.539 min_f=-14.5414 detect_q=2
q=2 t=2 f=-14.5388 min_f=-14.5414 detect_q=2
q=2 t=3 f=-14.5414 min_f=-14.5414 detect_q=2
q=2 t=4 f=-14.5388 min_f=-14.5414 detect_q=2
q=2 t=5 f=-14.5371 min_f=-14.5414 detect_q=2
q=2 t=6 f=-14.5371 min_f=-14.5414 detect_q=2
q=2 t=7 f=-14.5445 min_f=-14.5445 detect_q=2
q=2 t=8 f=-14.5445 min_f=-14.5445 detect_q=2
q=2 t=9 f=-14.5386 min_f=-14.5445 detect_q=2
q=2 t=10 f=-14.5414 min_f=-14.5445 detect_q=2
q=2 t=11 f=-14.5388 min_f=-14.5445 detect_q=2
q=2 t=12 f=-14.5445 min_f=-14.5445 detect_q=2
q=2 t=13 f=-14.539 min_f=-14.5445 detect_q=2
q=2 t=14 f=-14.5388 min_f=-14.5445 detect_q=2
q=2 t=15 f=-14.5414 min_f=-14.5445 detect_q=2
q=2 t=16 f=-14.5371 min_f=-14.5445 detect_q=2
q=2 t=17 f=-14.5389 min_f=-14.5445 detect_q=2
q=2 t=18 f=-14.5414 min_f=-14.5445 detect_q=2
q=2 t=19 f=-14.5387 min_f=-14.5445 detect_q=2
q=3 t=0 f=-14.5505 min_f=-14.5505 detect_q=3
q=3 t=1 f=-14.5541 min_f=-14.5541 detect_q=3
q=3 t=2 f=-14.5556 min_f=-14.5556 detect_q=3
q=3 t=3 f=-14.5541 min_f=-14.5556 detect_q=3
q=3 t=4 f=-14.5564 min_f=-14.5564 detect_q=3
q=3 t=5 f=-14.5508 min_f=-14.5564 detect_q=3
q=3 t=6 f=-14.5487 min_f=-14.5564 detect_q=3
q=3 t=7 f=-14.5562 min_f=-14.5564 detect_q=3
q=3 t=8 f=-14.5484 min_f=-14.5564 detect_q=3
q=3 t=9 f=-14.5564 min_f=-14.5564 detect_q=3
q=3 t=10 f=-14.5508 min_f=-14.5564 detect_q=3
q=3 t=11 f=-14.5564 min_f=-14.5564 detect_q=3
q=3 t=12 f=-14.5533 min_f=-14.5564 detect_q=3
q=3 t=13 f=-14.5508 min_f=-14.5564 detect_q=3
q=3 t=14 f=-14.5498 min_f=-14.5564 detect_q=3
q=3 t=15 f=-14.5556 min_f=-14.5564 detect_q=3
q=3 t=16 f=-14.5541 min_f=-14.5564 detect_q=3
q=3 t=17 f=-14.5503 min_f=-14.5564 detect_q=3
q=3 t=18 f=-14.5487 min_f=-14.5564 detect_q=3
q=3 t=19 f=-14.5552 min_f=-14.5564 detect_q=3
q=4 t=0 f=-14.5667 min_f=-14.5667 detect_q=4
q=4 t=1 f=-14.5666 min_f=-14.5667 detect_q=4
q=4 t=2 f=-14.5666 min_f=-14.5667 detect_q=4
q=4 t=3 f=-14.567 min_f=-14.567 detect_q=4
q=4 t=4 f=-14.5667 min_f=-14.567 detect_q=4
q=4 t=5 f=-14.5666 min_f=-14.567 detect_q=4
q=4 t=6 f=-14.5664 min_f=-14.567 detect_q=4
q=4 t=7 f=-14.5661 min_f=-14.567 detect_q=4
q=4 t=8 f=-14.5667 min_f=-14.567 detect_q=4
q=4 t=9 f=-14.5662 min_f=-14.567 detect_q=4
q=4 t=10 f=-14.5664 min_f=-14.567 detect_q=4
q=4 t=11 f=-14.567 min_f=-14.567 detect_q=4
q=4 t=12 f=-14.5662 min_f=-14.567 detect_q=4
q=4 t=13 f=-14.5661 min_f=-14.567 detect_q=4
q=4 t=14 f=-14.567 min_f=-14.567 detect_q=4
q=4 t=15 f=-14.5667 min_f=-14.567 detect_q=4
q=4 t=16 f=-14.5666 min_f=-14.567 detect_q=4
q=4 t=17 f=-14.5675 min_f=-14.5675 detect_q=4
q=4 t=18 f=-14.5663 min_f=-14.5675 detect_q=4
q=4 t=19 f=-14.5667 min_f=-14.5675 detect_q=4
q=5 t=0 f=-14.5668 min_f=-14.5668 detect_q=5
q=5 t=1 f=-14.5665 min_f=-14.5668 detect_q=5
q=5 t=2 f=-14.5665 min_f=-14.5668 detect_q=5
q=5 t=3 f=-14.5661 min_f=-14.5668 detect_q=5
q=5 t=4 f=-14.5668 min_f=-14.5668 detect_q=5
q=5 t=5 f=-14.567 min_f=-14.567 detect_q=5
q=5 t=6 f=-14.5665 min_f=-14.567 detect_q=5
q=5 t=7 f=-14.5661 min_f=-14.567 detect_q=5
q=5 t=8 f=-14.5664 min_f=-14.567 detect_q=5
q=5 t=9 f=-14.567 min_f=-14.567 detect_q=5
q=5 t=10 f=-14.5665 min_f=-14.567 detect_q=5
q=5 t=11 f=-14.5668 min_f=-14.567 detect_q=5
q=5 t=12 f=-14.5668 min_f=-14.567 detect_q=5
q=5 t=13 f=-14.5661 min_f=-14.567 detect_q=5
q=5 t=14 f=-14.5657 min_f=-14.567 detect_q=5
q=5 t=15 f=-14.5657 min_f=-14.567 detect_q=5
q=5 t=16 f=-14.567 min_f=-14.567 detect_q=5
q=5 t=17 f=-14.5657 min_f=-14.567 detect_q=5
q=5 t=18 f=-14.5668 min_f=-14.567 detect_q=5
q=5 t=19 f=-14.5664 min_f=-14.567 detect_q=5
q=6 t=0 f=-14.5667 min_f=-14.5667 detect_q=6
q=6 t=1 f=-14.566 min_f=-14.5667 detect_q=6
q=6 t=2 f=-14.5659 min_f=-14.5667 detect_q=6
q=6 t=3 f=-14.5664 min_f=-14.5667 detect_q=6
q=6 t=4 f=-14.5667 min_f=-14.5667 detect_q=6
q=6 t=5 f=-14.5669 min_f=-14.5669 detect_q=6
q=6 t=6 f=-14.5655 min_f=-14.5669 detect_q=6
q=6 t=7 f=-14.5664 min_f=-14.5669 detect_q=6
q=6 t=8 f=-14.5661 min_f=-14.5669 detect_q=6
q=6 t=9 f=-14.5664 min_f=-14.5669 detect_q=6
q=6 t=10 f=-14.5664 min_f=-14.5669 detect_q=6
q=6 t=11 f=-14.5664 min_f=-14.5669 detect_q=6
q=6 t=12 f=-14.5658 min_f=-14.5669 detect_q=6
q=6 t=13 f=-14.568 min_f=-14.568 detect_q=6
q=6 t=14 f=-14.566 min_f=-14.568 detect_q=6
q=6 t=15 f=-14.5668 min_f=-14.568 detect_q=6
q=6 t=16 f=-14.5667 min_f=-14.568 detect_q=6
q=6 t=17 f=-14.5668 min_f=-14.568 detect_q=6
q=6 t=18 f=-14.5665 min_f=-14.568 detect_q=6
q=6 t=19 f=-14.5664 min_f=-14.568 detect_q=6
q=7 t=0 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=1 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=2 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=3 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=4 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=5 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=6 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=7 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=8 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=9 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=10 f=-14.5324 min_f=-14.5324 detect_q=7
q=7 t=11 f=-14.5324 min_f=-14.5324 detect_q=7
