q=1 t=1 f=-14.041 min_f=-14.041 detect_q=1
q=2 t=0 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=1 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=2 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=3 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=4 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=5 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=6 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=7 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=8 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=9 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=10 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=11 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=12 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=13 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=14 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=15 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=16 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=17 f=-14.0427 min_f=-14.0428 detect_q=2
q=2 t=18 f=-14.0428 min_f=-14.0428 detect_q=2
q=2 t=19 f=-14.0427 min_f=-14.0428 detect_q=2
q=3 t=0 f=-14.0441 min_f=-14.0441 detect_q=3
q=3 t=1 f=-14.0441 min_f=-14.0441 detect_q=3
q=3 t=2 f=-14.0435 min_f=-14.0441 detect_q=3
q=3 t=3 f=-14.0443 min_f=-14.0443 detect_q=3
q=3 t=4 f=-14.0436 min_f=-14.0443 detect_q=3
q=3 t=5 f=-14.0439 min_f=-14.0443 detect_q=3
q=3 t=6 f=-14.0443 min_f=-14.0443 detect_q=3
q=3 t=7 f=-14.043 min_f=-14.0443 detect_q=3
q=3 t=8 f=-14.0429 min_f=-14.0443 detect_q=3
q=3 t=9 f=-14.0443 min_f=-14.0443 detect_q=3
q=3 t=10 f=-14.0435 min_f=-14.0443 detect_q=3
q=3 t=11 f=-14.0436 min_f=-14.0443 detect_q=3
q=3 t=12 f=-14.0439 min_f=-14.0443 detect_q=3
q=3 t=13 f=-14.0431 min_f=-14.0443 detect_q=3
q=3 t=14 f=-14.0432 min_f=-14.0443 detect_q=3
q=3 t=15 f=-14.0435 min_f=-14.0443 detect_q=3
q=3 t=16 f=-14.0436 min_f=-14.0443 detect_q=3
q=3 t=17 f=-14.0431 min_f=-14.0443 detect_q=3
q=3 t=18 f=-14.0441 min_f=-14.0443 detect_q=3
q=3 t=19 f=-14.0439 min_f=-14.0443 detect_q=3
q=4 t=0 f=-14.0456 min_f=-14.0456 detect_q=4
q=4 t=1 f=-14.0456 min_f=-14.0456 detect_q=4
q=4 t=2 f=-14.0457 min_f=-14.0457 detect_q=4
q=4 t=3 f=-14.0461 min_f=-14.0461 detect_q=4
q=4 t=4 f=-14.0456 min_f=-14.0461 detect_q=4
q=4 t=5 f=-14.0456 min_f=-14.0461 detect_q=4
q=4 t=6 f=-14.0457 min_f=-14.0461 detect_q=4
q=4 t=7 f=-14.046 min_f=-14.0461 detect_q=4
q=4 t=8 f=-14.046 min_f=-14.0461 detect_q=4
q=4 t=9 f=-14.0461 min_f=-14.0461 detect_q=4
q=4 t=10 f=-14.0456 min_f=-14.0461 detect_q=4
q=4 t=11 f=-14.0453 min_f=-14.0461 detect_q=4
q=4 t=12 f=-14.0456 min_f=-14.0461 detect_q=4
q=4 t=13 f=-14.046 min_f=-14.0461 detect_q=4
q=4 t=14 f=-14.0456 min_f=-14.0461 detect_q=4
q=4 t=15 f=-14.0461 min_f=-14.0461 detect_q=4
q=4 t=16 f=-14.0461 min_f=-14.0461 detect_q=4
q=4 t=17 f=-14.0456 min_f=-14.0461 detect_q=4
q=4 t=18 f=-14.0453 min_f=-14.0461 detect_q=4
q=4 t=19 f=-14.0455 min_f=-14.0461 detect_q=4
q=5 t=0 f=-14.0451 min_f=-14.0451 detect_q=5
q=5 t=1 f=-14.0458 min_f=-14.0458 detect_q=5
q=5 t=2 f=-14.0451 min_f=-14.0458 detect_q=5
q=5 t=3 f=-14.0454 min_f=-14.0458 detect_q=5
q=5 t=4 f=-14.0458 min_f=-14.0458 detect_q=5
q=5 t=5 f=-14.0454 min_f=-14.0458 detect_q=5
q=5 t=6 f=-14.045 min_f=-14.0458 detect_q=5
q=5 t=7 f=-14.0454 min_f=-14.0458 detect_q=5
q=5 t=8 f=-14.045 min_f=-14.0458 detect_q=5
q=5 t=9 f=-14.0455 min_f=-14.0458 detect_q=5
q=5 t=10 f=-14.045 min_f=-14.0458 detect_q=5
q=5 t=11 f=-14.0451 min_f=-14.0458 detect_q=5
q=5 t=12 f=-14.0452 min_f=-14.0458 detect_q=5
q=5 t=13 f=-14.0458 min_f=-14.0458 detect_q=5
q=5 t=14 f=-14.0451 min_f=-14.0458 detect_q=5
q=5 t=15 f=-14.0459 min_f=-14.0459 detect_q=5
q=5 t=16 f=-14.045 min_f=-14.0459 detect_q=5
q=5 t=17 f=-14.0453 min_f=-14.0459 detect_q=5
q=5 t=18 f=-14.0452 min_f=-14.0459 detect_q=5
q=5 t=19 f=-14.0459 min_f=-14.0459 detect_q=5
q=6 t=0 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=1 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=2 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=3 f=-14.041 min_f=-14.041 detect_q=5
q=6 t=4 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=5 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=6 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=7 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=8 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=9 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=10 f=-14.041 min_f=-14.041 detect_q=5
q=6 t=11 f=-14.041 min_f=-14.041 detect_q=4
q=6 t=12 f=-14.041 min_f=-14.041 detect_q=5
q=6 t=13 f=-14.041 min_f=-14.041 detect_q=5
q=6 t=14 f=-14.041 min_f=-14.041 detect_q=5
q=6 t=15 f=-14.041 min_f=-14.041 detect_q=4
q=6 t=16 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=17 f=-14.041 min_f=-14.041 detect_q=5
q=6 t=18 f=-14.041 min_f=-14.041 detect_q=6
q=6 t=19 f=-14.041 min_f=-14.041 detect_q=5
q=7 t=0 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=1 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=2 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=3 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=4 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=5 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=6 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=7 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=8 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=9 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=10 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=11 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=12 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=13 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=14 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=15 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=16 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=17 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=18 f=-14.041 min_f=-14.041 detect_q=7
q=7 t=19 f=-14.041 min_f=-14.041 detect_q=7
Finial result number of group 4
