q=1 t=1 f=-13.895 min_f=-13.895 detect_q=1
q=2 t=0 f=-14.0974 min_f=-14.0974 detect_q=2
q=2 t=1 f=-14.112 min_f=-14.112 detect_q=2
q=2 t=2 f=-14.0975 min_f=-14.112 detect_q=2
q=2 t=3 f=-14.112 min_f=-14.112 detect_q=2
q=2 t=4 f=-14.1056 min_f=-14.112 detect_q=2
q=2 t=5 f=-14.112 min_f=-14.112 detect_q=2
q=2 t=6 f=-14.1121 min_f=-14.1121 detect_q=2
q=2 t=7 f=-14.112 min_f=-14.1121 detect_q=2
q=2 t=8 f=-14.0974 min_f=-14.1121 detect_q=2
q=2 t=9 f=-14.112 min_f=-14.1121 detect_q=2
q=2 t=10 f=-14.112 min_f=-14.1121 detect_q=2
q=2 t=11 f=-14.0977 min_f=-14.1121 detect_q=2
q=2 t=12 f=-14.0975 min_f=-14.1121 detect_q=2
q=2 t=13 f=-14.1056 min_f=-14.1121 detect_q=2
q=2 t=14 f=-14.112 min_f=-14.1121 detect_q=2
q=2 t=15 f=-14.112 min_f=-14.1121 detect_q=2
q=2 t=16 f=-14.112 min_f=-14.1121 detect_q=2
q=2 t=17 f=-14.0974 min_f=-14.1121 detect_q=2
q=2 t=18 f=-14.112 min_f=-14.1121 detect_q=2
q=2 t=19 f=-14.112 min_f=-14.1121 detect_q=2
q=3 t=0 f=-14.3402 min_f=-14.3402 detect_q=3
q=3 t=1 f=-14.3293 min_f=-14.3402 detect_q=3
q=3 t=2 f=-14.3403 min_f=-14.3403 detect_q=3
q=3 t=3 f=-14.3293 min_f=-14.3403 detect_q=3
q=3 t=4 f=-14.34 min_f=-14.3403 detect_q=3
q=3 t=5 f=-14.3299 min_f=-14.3403 detect_q=3
q=3 t=6 f=-14.3361 min_f=-14.3403 detect_q=3
q=3 t=7 f=-14.3401 min_f=-14.3403 detect_q=3
q=3 t=8 f=-14.3358 min_f=-14.3403 detect_q=3
q=3 t=9 f=-14.3148 min_f=-14.3403 detect_q=3
q=3 t=10 f=-14.3358 min_f=-14.3403 detect_q=3
q=3 t=11 f=-14.34 min_f=-14.3403 detect_q=3
q=3 t=12 f=-14.3363 min_f=-14.3403 detect_q=3
q=3 t=13 f=-14.3398 min_f=-14.3403 detect_q=3
q=3 t=14 f=-14.3357 min_f=-14.3403 detect_q=3
q=3 t=15 f=-14.3402 min_f=-14.3403 detect_q=3
q=3 t=16 f=-14.3402 min_f=-14.3403 detect_q=3
q=3 t=17 f=-14.3353 min_f=-14.3403 detect_q=3
q=3 t=18 f=-14.3408 min_f=-14.3408 detect_q=3
q=3 t=19 f=-14.3145 min_f=-14.3408 detect_q=3
q=4 t=0 f=-14.5637 min_f=-14.5637 detect_q=4
q=4 t=1 f=-14.564 min_f=-14.564 detect_q=4
q=4 t=2 f=-14.564 min_f=-14.564 detect_q=4
q=4 t=3 f=-14.5636 min_f=-14.564 detect_q=4
q=4 t=4 f=-14.5637 min_f=-14.564 detect_q=4
q=4 t=5 f=-14.5636 min_f=-14.564 detect_q=4
q=4 t=6 f=-14.5644 min_f=-14.5644 detect_q=4
q=4 t=7 f=-14.5633 min_f=-14.5644 detect_q=4
q=4 t=8 f=-14.5636 min_f=-14.5644 detect_q=4
q=4 t=9 f=-14.5647 min_f=-14.5647 detect_q=4
q=4 t=10 f=-14.5633 min_f=-14.5647 detect_q=4
q=4 t=11 f=-14.5636 min_f=-14.5647 detect_q=4
q=4 t=12 f=-14.5647 min_f=-14.5647 detect_q=4
q=4 t=13 f=-14.5633 min_f=-14.5647 detect_q=4
q=4 t=14 f=-14.5643 min_f=-14.5647 detect_q=4
q=4 t=15 f=-14.5637 min_f=-14.5647 detect_q=4
q=4 t=16 f=-14.5637 min_f=-14.5647 detect_q=4
q=4 t=17 f=-14.5637 min_f=-14.5647 detect_q=4
q=4 t=18 f=-14.564 min_f=-14.5647 detect_q=4
q=4 t=19 f=-14.5636 min_f=-14.5647 detect_q=4
q=5 t=0 f=-14.564 min_f=-14.564 detect_q=5
q=5 t=1 f=-14.5641 min_f=-14.5641 detect_q=5
q=5 t=2 f=-14.5638 min_f=-14.5641 detect_q=5
q=5 t=3 f=-14.5632 min_f=-14.5641 detect_q=5
q=5 t=4 f=-14.5633 min_f=-14.5641 detect_q=5
q=5 t=5 f=-14.5641 min_f=-14.5641 detect_q=5
q=5 t=6 f=-14.5641 min_f=-14.5641 detect_q=5
q=5 t=7 f=-14.5633 min_f=-14.5641 detect_q=5
q=5 t=8 f=-14.5632 min_f=-14.5641 detect_q=5
q=5 t=9 f=-14.5634 min_f=-14.5641 detect_q=5
q=5 t=10 f=-14.5636 min_f=-14.5641 detect_q=5
q=5 t=11 f=-14.5633 min_f=-14.5641 detect_q=5
q=5 t=12 f=-14.5636 min_f=-14.5641 detect_q=5
q=5 t=13 f=-14.564 min_f=-14.5641 detect_q=5
q=5 t=14 f=-14.5633 min_f=-14.5641 detect_q=5
q=5 t=15 f=-14.5633 min_f=-14.5641 detect_q=5
q=5 t=16 f=-14.5638 min_f=-14.5641 detect_q=5
q=5 t=17 f=-14.5637 min_f=-14.5641 detect_q=5
q=5 t=18 f=-14.5638 min_f=-14.5641 detect_q=5
q=5 t=19 f=-14.5636 min_f=-14.5641 detect_q=5
q=6 t=0 f=-14.5634 min_f=-14.5634 detect_q=6
q=6 t=1 f=-14.5625 min_f=-14.5634 detect_q=6
q=6 t=2 f=-14.563 min_f=-14.5634 detect_q=6
q=6 t=3 f=-14.563 min_f=-14.5634 detect_q=6
q=6 t=4 f=-14.5635 min_f=-14.5635 detect_q=6
q=6 t=5 f=-14.5628 min_f=-14.5635 detect_q=6
q=6 t=6 f=-14.564 min_f=-14.564 detect_q=6
q=6 t=7 f=-14.5635 min_f=-14.564 detect_q=6
q=6 t=8 f=-14.5656 min_f=-14.5656 detect_q=6
q=6 t=9 f=-14.5634 min_f=-14.5656 detect_q=6
q=6 t=10 f=-14.5628 min_f=-14.5656 detect_q=6
q=6 t=11 f=-14.563 min_f=-14.5656 detect_q=6
q=6 t=12 f=-14.563 min_f=-14.5656 detect_q=6
q=6 t=13 f=-14.5634 min_f=-14.5656 detect_q=6
q=6 t=14 f=-14.563 min_f=-14.5656 detect_q=6
q=6 t=15 f=-14.5628 min_f=-14.5656 detect_q=6
q=6 t=16 f=-14.5634 min_f=-14.5656 detect_q=6
q=6 t=17 f=-14.564 min_f=-14.5656 detect_q=6
q=6 t=18 f=-14.5633 min_f=-14.5656 detect_q=6
q=6 t=19 f=-14.5641 min_f=-14.5656 detect_q=6
q=7 t=0 f=-14.5626 min_f=-14.5626 detect_q=7
q=7 t=1 f=-14.563 min_f=-14.563 detect_q=7
q=7 t=2 f=-14.5626 min_f=-14.563 detect_q=7
q=7 t=3 f=-14.5631 min_f=-14.5631 detect_q=7
q=7 t=4 f=-14.5633 min_f=-14.5633 detect_q=7
q=7 t=5 f=-14.5638 min_f=-14.5638 detect_q=7
q=7 t=6 f=-14.5631 min_f=-14.5638 detect_q=7
q=7 t=7 f=-14.5629 min_f=-14.5638 detect_q=7
q=7 t=8 f=-14.5629 min_f=-14.5638 detect_q=7
q=7 t=9 f=-14.5631 min_f=-14.5638 detect_q=7
q=7 t=10 f=-14.5637 min_f=-14.5638 detect_q=7
q=7 t=11 f=-14.5623 min_f=-14.5638 detect_q=7
q=7 t=12 f=-14.5638 min_f=-14.5638 detect_q=7
q=7 t=13 f=-14.5638 min_f=-14.5638 detect_q=7
q=7 t=14 f=-14.5625 min_f=-14.5638 detect_q=7
q=7 t=15 f=-14.5631 min_f=-14.5638 detect_q=7
q=7 t=16 f=-14.5624 min_f=-14.5638 detect_q=7
q=7 t=17 f=-14.5625 min_f=-14.5638 detect_q=7
q=7 t=18 f=-14.5637 min_f=-14.5638 detect_q=7
q=7 t=19 f=-14.5626 min_f=-14.5638 detect_q=7
Finial result number of group 4
