q=1 t=1 f=-14.2182 min_f=-14.2182 detect_q=1
q=2 t=0 f=-14.3045 min_f=-14.3045 detect_q=2
q=2 t=1 f=-14.3046 min_f=-14.3046 detect_q=2
q=2 t=2 f=-14.3158 min_f=-14.3158 detect_q=2
q=2 t=3 f=-14.302 min_f=-14.3158 detect_q=2
q=2 t=4 f=-14.3044 min_f=-14.3158 detect_q=2
q=2 t=5 f=-14.3161 min_f=-14.3161 detect_q=2
q=2 t=6 f=-14.3161 min_f=-14.3161 detect_q=2
q=2 t=7 f=-14.3018 min_f=-14.3161 detect_q=2
q=2 t=8 f=-14.3044 min_f=-14.3161 detect_q=2
q=2 t=9 f=-14.3161 min_f=-14.3161 detect_q=2
q=2 t=10 f=-14.3018 min_f=-14.3161 detect_q=2
q=2 t=11 f=-14.3018 min_f=-14.3161 detect_q=2
q=2 t=12 f=-14.3044 min_f=-14.3161 detect_q=2
q=2 t=13 f=-14.3161 min_f=-14.3161 detect_q=2
q=2 t=14 f=-14.3044 min_f=-14.3161 detect_q=2
q=2 t=15 f=-14.3161 min_f=-14.3161 detect_q=2
q=2 t=16 f=-14.3159 min_f=-14.3161 detect_q=2
q=2 t=17 f=-14.3045 min_f=-14.3161 detect_q=2
q=2 t=18 f=-14.3018 min_f=-14.3161 detect_q=2
q=2 t=19 f=-14.3045 min_f=-14.3161 detect_q=2
q=3 t=0 f=-14.416 min_f=-14.416 detect_q=3
q=3 t=1 f=-14.425 min_f=-14.425 detect_q=3
q=3 t=2 f=-14.4365 min_f=-14.4365 detect_q=3
q=3 t=3 f=-14.4331 min_f=-14.4365 detect_q=3
q=3 t=4 f=-14.4247 min_f=-14.4365 detect_q=3
q=3 t=5 f=-14.4325 min_f=-14.4365 detect_q=3
q=3 t=6 f=-14.4364 min_f=-14.4365 detect_q=3
q=3 t=7 f=-14.4366 min_f=-14.4366 detect_q=3
q=3 t=8 f=-14.4368 min_f=-14.4368 detect_q=3
q=3 t=9 f=-14.4361 min_f=-14.4368 detect_q=3
q=3 t=10 f=-14.4362 min_f=-14.4368 detect_q=3
q=3 t=11 f=-14.426 min_f=-14.4368 detect_q=3
q=3 t=12 f=-14.4158 min_f=-14.4368 detect_q=3
q=3 t=13 f=-14.4329 min_f=-14.4368 detect_q=3
q=3 t=14 f=-14.4327 min_f=-14.4368 detect_q=3
q=3 t=15 f=-14.4246 min_f=-14.4368 detect_q=3
q=3 t=16 f=-14.4361 min_f=-14.4368 detect_q=3
q=3 t=17 f=-14.4253 min_f=-14.4368 detect_q=3
q=3 t=18 f=-14.4325 min_f=-14.4368 detect_q=3
q=3 t=19 f=-14.4367 min_f=-14.4368 detect_q=3
q=4 t=0 f=-14.553 min_f=-14.553 detect_q=4
q=4 t=1 f=-14.553 min_f=-14.553 detect_q=4
q=4 t=2 f=-14.5535 min_f=-14.5535 detect_q=4
q=4 t=3 f=-14.553 min_f=-14.5535 detect_q=4
q=4 t=4 f=-14.5531 min_f=-14.5535 detect_q=4
q=4 t=5 f=-14.5529 min_f=-14.5535 detect_q=4
q=4 t=6 f=-14.553 min_f=-14.5535 detect_q=4
q=4 t=7 f=-14.553 min_f=-14.5535 detect_q=4
q=4 t=8 f=-14.553 min_f=-14.5535 detect_q=4
q=4 t=9 f=-14.5531 min_f=-14.5535 detect_q=4
q=4 t=10 f=-14.5533 min_f=-14.5535 detect_q=4
q=4 t=11 f=-14.5537 min_f=-14.5537 detect_q=4
q=4 t=12 f=-14.553 min_f=-14.5537 detect_q=4
q=4 t=13 f=-14.5531 min_f=-14.5537 detect_q=4
q=4 t=14 f=-14.553 min_f=-14.5537 detect_q=4
q=4 t=15 f=-14.554 min_f=-14.554 detect_q=4
q=4 t=16 f=-14.5537 min_f=-14.554 detect_q=4
q=4 t=17 f=-14.553 min_f=-14.554 detect_q=4
q=4 t=18 f=-14.5532 min_f=-14.554 detect_q=4
q=4 t=19 f=-14.5535 min_f=-14.554 detect_q=4
q=5 t=0 f=-14.553 min_f=-14.553 detect_q=5
q=5 t=1 f=-14.5525 min_f=-14.553 detect_q=5
q=5 t=2 f=-14.5523 min_f=-14.553 detect_q=5
q=5 t=3 f=-14.5533 min_f=-14.5533 detect_q=5
q=5 t=4 f=-14.5519 min_f=-14.5533 detect_q=5
q=5 t=5 f=-14.5523 min_f=-14.5533 detect_q=5
q=5 t=6 f=-14.5532 min_f=-14.5533 detect_q=5
q=5 t=7 f=-14.5523 min_f=-14.5533 detect_q=5
q=5 t=8 f=-14.5521 min_f=-14.5533 detect_q=5
q=5 t=9 f=-14.5535 min_f=-14.5535 detect_q=5
q=5 t=10 f=-14.5531 min_f=-14.5535 detect_q=5
q=5 t=11 f=-14.5523 min_f=-14.5535 detect_q=5
q=5 t=12 f=-14.5521 min_f=-14.5535 detect_q=5
